idx,name,played,wins,draws,losses,scoresStr,goalConDiff,pts
1,Real Madrid,19,13,5,1,39-17,22,44
2,Barcelona,19,11,6,2,36-23,13,39
3,Girona,19,10,4,5,32-26,6,34
4,Real Sociedad,19,8,6,5,25-19,6,30
5,Atletico Madrid,19,8,3,8,28-21,7,27
6,Villarreal,19,7,6,6,29-33,-4,27
7,Athletic Club,19,7,5,7,19-19,0,26
8,Real Betis,19,5,8,6,21-26,-5,23
9,Osasuna,19,6,4,9,26-30,-4,22
10,Valencia,19,5,4,10,20-31,-11,19
11,Sevilla,19,4,6,9,21-27,-6,18
12,Rayo Vallecano,19,4,6,9,11-22,-11,18
13,Celta Vigo,19,4,5,10,25-34,-9,17
14,Las Palmas,19,4,4,11,13-27,-14,16
15,Deportivo Alaves,19,3,6,10,13-27,-14,15
16,Getafe,19,2,8,9,22-32,-10,14
17,Mallorca,19,2,8,9,16-28,-12,14
18,Almeria,19,2,4,13,21-39,-18,10
19,Cadiz,19,1,6,12,10-36,-26,9
20,Granada,19,0,3,16,14-47,-33,3
