idx,name,played,wins,draws,losses,scoresStr,goalConDiff,pts
1,Real Madrid,19,16,3,0,48-9,39,51
2,Atletico Madrid,19,16,1,2,42-22,20,49
3,Girona,19,15,2,2,53-20,33,47
4,Barcelona,19,15,1,3,43-21,22,46
5,Athletic Club,19,12,6,1,42-18,24,42
6,Real Betis,19,9,7,3,27-19,8,34
7,Deportivo Alaves,19,9,4,6,23-19,4,31
8,Real Sociedad,19,8,6,5,26-20,6,30
9,Valencia,19,8,6,5,20-14,6,30
10,Getafe,19,8,5,6,20-22,-2,29
11,Villarreal,19,7,5,7,36-32,4,26
12,Mallorca,19,6,8,5,17-16,1,26
13,Las Palmas,19,6,6,7,20-20,0,24
14,Celta Vigo,19,6,6,7,21-23,-2,24
15,Cadiz,19,5,9,5,16-19,-3,24
16,Sevilla,19,6,5,8,27-27,0,23
17,Osasuna,19,6,5,8,19-26,-7,23
18,Rayo Vallecano,19,4,8,7,18-26,-8,20
19,Granada,19,4,6,9,24-32,-8,18
20,Almeria,19,1,8,10,22-36,-14,11
