Rank,Team,Accurate Crosses per Match,Cross Success (%),Matches,Country
1,Sevilla,6.5,26.3,38,ESP
2,Athletic Club,5.7,25.7,38,ESP
3,Mallorca,5.5,27.5,38,ESP
4,Osasuna,5.4,25.2,38,ESP
5,Deportivo Alaves,5.3,24.5,38,ESP
6,Cadiz,5.2,25.2,38,ESP
7,Girona,4.8,26.1,38,ESP
8,Barcelona,4.7,27.6,38,ESP
9,Getafe,4.7,25.4,38,ESP
10,Villarreal,4.5,28.7,38,ESP
11,Granada,4.5,25.9,38,ESP
12,Rayo Vallecano,4.3,23.8,38,ESP
13,Almeria,4.1,23.7,38,ESP
14,Real Sociedad,4.1,23.1,38,ESP
15,Celta Vigo,3.9,22.4,38,ESP
16,Real Madrid,3.7,22.5,38,ESP
17,Real Betis,3.7,22.3,38,ESP
18,Atletico Madrid,3.6,22.2,38,ESP
19,Valencia,3.4,21.6,38,ESP
20,Las Palmas,2.9,19.0,38,ESP
