Rank,Team,Accurate Long Balls per Match,Successful Long Balls (%),Matches,Country
1,Getafe,31.1,41.6,38,ESP
2,Osasuna,29.7,45.2,38,ESP
3,Sevilla,28.8,48.1,38,ESP
4,Cadiz,28.3,41.2,38,ESP
5,Mallorca,28.2,43.6,38,ESP
6,Real Madrid,27.0,61.7,38,ESP
7,Barcelona,26.0,60.3,38,ESP
8,Deportivo Alaves,25.9,42.2,38,ESP
9,Granada,25.8,41.7,38,ESP
10,Villarreal,25.7,51.1,38,ESP
11,Atletico Madrid,25.4,51.4,38,ESP
12,Real Sociedad,24.6,48.7,38,ESP
13,Athletic Club,24.6,42.8,38,ESP
14,Rayo Vallecano,24.3,38.6,38,ESP
15,Girona,23.6,53.4,38,ESP
16,Real Betis,23.4,46.7,38,ESP
17,Almeria,22.8,40.9,38,ESP
18,Valencia,22.6,37.9,38,ESP
19,Celta Vigo,22.3,42.8,38,ESP
20,Las Palmas,19.2,41.9,38,ESP
