Rank,Team,Big Chances Missed,Goals,Matches,Country
1,Barcelona,77.0,79.0,38,ESP
2,Atletico Madrid,71.0,70.0,38,ESP
3,Girona,70.0,85.0,38,ESP
4,Real Madrid,68.0,87.0,38,ESP
5,Sevilla,62.0,48.0,38,ESP
6,Almeria,59.0,43.0,38,ESP
7,Deportivo Alaves,59.0,36.0,38,ESP
8,Real Betis,58.0,48.0,38,ESP
9,Athletic Club,53.0,61.0,38,ESP
10,Celta Vigo,50.0,46.0,38,ESP
11,Villarreal,46.0,65.0,38,ESP
12,Osasuna,45.0,45.0,38,ESP
13,Getafe,44.0,42.0,38,ESP
14,Rayo Vallecano,42.0,29.0,38,ESP
15,Valencia,41.0,40.0,38,ESP
16,Granada,41.0,38.0,38,ESP
17,Cadiz,39.0,26.0,38,ESP
18,Real Sociedad,38.0,51.0,38,ESP
19,Mallorca,38.0,33.0,38,ESP
20,Las Palmas,29.0,33.0,38,ESP
