Rank,Team,Expected Goals,Goals,Matches,Country
1,Barcelona,78.5,79.0,38,ESP
2,Girona,71.8,85.0,38,ESP
3,Real Madrid,69.8,87.0,38,ESP
4,Atletico Madrid,63.0,70.0,38,ESP
5,Villarreal,56.7,65.0,38,ESP
6,Athletic Club,53.2,61.0,38,ESP
7,Celta Vigo,51.2,46.0,38,ESP
8,Almeria,49.4,43.0,38,ESP
9,Deportivo Alaves,46.6,36.0,38,ESP
10,Getafe,46.1,42.0,38,ESP
11,Real Sociedad,45.5,51.0,38,ESP
12,Sevilla,45.2,48.0,38,ESP
13,Real Betis,44.6,48.0,38,ESP
14,Valencia,43.4,40.0,38,ESP
15,Granada,43.0,38.0,38,ESP
16,Rayo Vallecano,42.7,29.0,38,ESP
17,Mallorca,41.2,33.0,38,ESP
18,Osasuna,41.0,45.0,38,ESP
19,Cadiz,36.5,26.0,38,ESP
20,Las Palmas,33.4,33.0,38,ESP
