Rank,Team,Shots on Target per Match,Shot Conversion Rate (%),Matches,Country
1,Real Madrid,6.6,14.6,38,ESP
2,Barcelona,6.1,13.3,38,ESP
3,Atletico Madrid,5.4,14.6,38,ESP
4,Girona,5.1,17.6,38,ESP
5,Villarreal,4.5,13.9,38,ESP
6,Athletic Club,4.5,13.2,38,ESP
7,Almeria,4.4,9.0,38,ESP
8,Rayo Vallecano,4.4,5.9,38,ESP
9,Sevilla,4.3,9.8,38,ESP
10,Celta Vigo,4.2,9.8,38,ESP
11,Getafe,4.2,9.3,38,ESP
12,Real Sociedad,4.1,11.1,38,ESP
13,Real Betis,4.1,9.8,38,ESP
14,Deportivo Alaves,3.9,7.7,38,ESP
15,Mallorca,3.6,7.9,38,ESP
16,Valencia,3.5,10.6,38,ESP
17,Osasuna,3.4,10.6,38,ESP
18,Granada,3.4,9.5,38,ESP
19,Las Palmas,3.3,8.4,38,ESP
20,Cadiz,3.2,6.5,38,ESP
