Rank,Player,Team,Accurate Passes per 90,Pass Success (%),Minutes,Matches,Country
1,Toni Kroos,Real Madrid,94.7,94.7,2130,33,GER
2,Frenkie de Jong,Barcelona,83.9,93.1,1637,20,NED
3,Pau Cubarsi,Barcelona,78.2,91.7,1562,19,ESP
4,Luka Modric,Real Madrid,76.1,91.1,1685,32,CRO
5,Kirian Rodriguez,Las Palmas,75.4,89.5,3217,37,ESP
6,William Carvalho,Real Betis,75.2,89.2,669,22,POR
7,Daniel Ceballos,Real Madrid,73.9,91.1,586,20,ESP
8,Koke,Atlético de Madrid,73.2,90.9,2502,35,ESP
9,Jules Koundé,Barcelona,71.0,90.8,2899,35,FRA
10,Aleix Garcia,Girona,70.3,91.7,3201,37,ESP
11,Oriol Romeu,Barcelona,69.2,89.5,930,28,ESP
12,Daley Blind,Girona,69.0,90.3,2971,34,NED
13,Inigo Martinez,Barcelona,69.0,88.7,1293,20,ESP
14,Eric Garcia,Girona,67.4,90.3,2697,32,ESP
15,David Lopez,Girona,66.8,92.9,1975,25,ESP
16,Andreas Christensen,Barcelona,66.7,94.3,1990,30,DEN
17,Maximo Perrone,Las Palmas,65.4,90.4,1626,29,ARG
18,Ronald Araujo,Barcelona,64.2,89.6,1994,25,URU
19,Mika Mármol,Las Palmas,63.9,89.0,3181,36,ESP
20,Ilkay Gündogan,Barcelona,63.5,90.5,2997,36,GER
21,Aurélien Tchouaméni,Real Madrid,62.1,92.0,1987,27,FRA
22,Pedri,Barcelona,62.1,87.8,1482,24,ESP
23,Nacho Fernandez,Real Madrid,60.7,92.5,1739,29,ESP
24,Jon Pacheco,Real Sociedad,60.1,87.3,1521,23,ESP
25,Eduardo Camavinga,Real Madrid,58.5,91.3,1824,31,FRA
26,Federico Valverde,Real Madrid,58.5,91.2,2910,37,URU
27,Robin Le Normand,Real Sociedad,56.8,88.6,2473,29,ESP
28,Ander Herrera,Athletic Club,56.1,86.6,1023,23,ESP
29,Ferland Mendy,Real Madrid,55.7,94.2,1725,23,FRA
30,Daniel Parejo,Villarreal,55.7,90.2,2586,33,ESP
31,Rodrigo De Paul,Atlético de Madrid,54.7,85.7,2084,34,ARG
32,Mario Hermoso,Atlético de Madrid,54.6,87.1,2556,31,ESP
33,Axel Witsel,Atlético de Madrid,54.2,92.2,2784,35,BEL
34,Antonio Rüdiger,Real Madrid,53.8,90.0,2707,33,GER
35,Jonathan Viera,Almería,53.3,88.9,1541,21,ESP
36,Igor Zubeldia,Real Sociedad,52.6,85.0,2523,30,ESP
37,Jude Bellingham,Real Madrid,52.2,89.8,2323,28,ENG
38,Lucas Vázquez,Real Madrid,51.8,88.5,1410,29,ESP
39,Iker Muniain,Athletic Club,51.7,88.9,585,20,ESP
40,César Azpilicueta,Atlético de Madrid,49.5,86.1,1421,25,ESP
41,Saul Coco,Las Palmas,49.3,88.9,2293,30,EQG
42,Arnau Martinez,Girona,48.8,89.9,1240,21,ESP
43,Unai Lopez,Rayo Vallecano,48.8,84.3,2123,35,ESP
44,Iván Martin,Girona,48.5,92.3,2744,36,ESP
45,Sergio Ramos,Sevilla,48.3,89.2,2518,28,ESP
46,Raul Albiol,Villarreal,48.3,86.3,2035,26,ESP
47,Joao Cancelo,Barcelona,47.3,84.6,2506,32,POR
48,Nemanja Gudelj,Sevilla,46.9,86.5,1744,22,SRB
49,Gabriel Paulista,Atlético de Madrid,46.8,86.5,1806,23,BRA
50,Enzo Loiodice,Las Palmas,46.6,84.3,1792,34,FRA
51,Francisco Garcia,Real Madrid,46.5,88.8,1396,25,ESP
52,Pablo Torre,Girona,46.4,84.8,690,26,ESP
53,Daniel Carvajal,Real Madrid,46.0,87.3,2172,28,ESP
54,Sergi Cardona,Las Palmas,45.7,82.5,2816,35,ESP
55,Kiko,Villarreal,45.5,85.3,1579,23,ESP
56,Alex Suárez,Las Palmas,45.0,87.4,2566,32,ESP
57,Marc Roca,Real Betis,44.9,85.5,1986,26,ESP
58,Daniel Vivian,Athletic Club,44.8,84.4,2879,33,ESP
59,Stefan Savic,Atlético de Madrid,44.8,83.5,1631,23,MNE
60,Martin Zubimendi,Real Sociedad,44.7,86.4,2655,31,ESP
61,Chadi Riad,Real Betis,44.6,89.7,2164,26,MAR
62,Yeray Álvarez,Athletic Club,44.5,81.1,1155,19,ESP
63,Isco,Real Betis,44.3,86.2,2338,29,ESP
64,Aitor Paredes,Athletic Club,44.2,85.6,2706,34,ESP
65,Pepelu,Valencia CF,44.2,82.4,3305,37,ESP
66,Florian Lejeune,Rayo Vallecano,44.1,81.3,3328,37,FRA
67,Loic Badé,Sevilla,43.7,83.0,2283,28,FRA
68,Boubakary Soumaré,Sevilla,43.6,90.3,2286,28,FRA
69,Fran Beltrán,Celta de Vigo,43.3,87.4,2438,33,ESP
70,Étienne Capoue,Villarreal,43.2,86.8,1444,32,FRA
71,Guido Rodriguez,Real Betis,43.2,85.9,1849,24,ARG
72,Kike Salas,Sevilla,42.9,79.1,1604,23,ESP
73,David Garcia,Osasuna,42.4,83.1,2336,27,ESP
74,Kieran Tierney,Real Sociedad,42.2,80.1,1243,20,SCO
75,Cristhian Mosquera,Valencia CF,42.1,88.6,3074,36,ESP
76,Jorge Cuenca,Villarreal,42.1,84.0,1961,29,ESP
77,Pablo Barrios,Atlético de Madrid,41.9,85.9,1556,24,ESP
78,Unai Nunez,Celta de Vigo,41.8,79.9,2802,34,ESP
79,Moi Gomez,Osasuna,41.6,83.8,2010,28,ESP
80,Inigo Ruiz de Galarreta,Athletic Club,41.5,83.1,2104,29,ESP
81,Germán Pezzella,Real Betis,41.4,86.0,2770,32,ARG
82,Luis Milla,Getafe,41.4,84.1,2123,27,ESP
83,Oscar Trejo,Rayo Vallecano,41.3,84.9,1381,31,ARG
84,Ramon Terrats,Villarreal,41.0,86.4,780,19,ESP
85,Yuri Berchiche,Athletic Club,40.9,83.6,1931,27,ESP
86,Yangel Herrera,Girona,40.8,87.4,2120,29,VEN
87,Santi Comesana,Villarreal,40.8,87.3,1656,27,ESP
88,Edgar González,Almería,40.8,85.4,2528,31,ESP
89,Lucas Robertone,Almería,40.7,84.5,2391,33,ARG
90,Antonio Raillo,Mallorca,40.5,85.8,2198,26,ESP
91,Hamari Traoré,Real Sociedad,40.5,84.6,2296,31,MLI
92,Benat Prados,Athletic Club,40.5,83.4,1450,26,ESP
93,Victor Chust,Cádiz,39.9,80.6,1870,22,ESP
94,Pathé Ciss,Rayo Vallecano,39.8,83.6,1658,31,SEN
95,Pep Chavarria,Rayo Vallecano,39.8,80.0,1164,22,ESP
96,Miguel Gutiérrez,Girona,39.7,88.4,3037,35,ESP
97,Nabil Fekir,Real Betis,39.6,84.1,1049,19,FRA
98,Hugo Guillamon,Valencia CF,38.8,82.1,1305,26,ESP
99,Alejandro Catena,Osasuna,38.8,81.9,2536,30,ESP
100,Oscar de Marcos,Athletic Club,38.7,83.0,2261,28,ESP
101,Mikel Merino,Real Sociedad,38.7,77.5,2485,32,ESP
102,Sergio Ruiz,Granada CF,38.5,85.1,2501,35,ESP
103,Gonzalo Villar,Granada CF,38.5,84.0,1785,35,ESP
104,Oliver Torres,Sevilla,38.4,83.8,1620,27,ESP
105,Carlos Dominguez,Celta de Vigo,38.4,79.2,1585,22,ESP
106,Suso,Sevilla,38.3,85.3,1514,29,ESP
107,Cenk Özkacar,Valencia CF,38.3,81.7,1595,23,TUR
108,José Giménez,Atlético de Madrid,38.2,86.5,1323,22,URU
109,Oscar Mingueza,Celta de Vigo,38.1,80.9,3002,38,ESP
110,Nahuel Molina,Atlético de Madrid,38.0,76.9,1855,30,ARG
111,Ignasi Miquel,Granada CF,37.9,82.0,2991,34,ESP
112,Juan Brandariz,Almería,37.7,86.6,2432,31,ESP
113,Jon Moncayola,Osasuna,37.7,81.6,1801,33,ESP
114,César Montes,Almería,37.6,77.7,1792,21,MEX
