Rank,Player,Team,Big Chances Created,Total Assists,Minutes,Matches,Country
1,Iago Aspas,Celta de Vigo,21.0,10.0,2715,35,ESP
2,Miguel Gutiérrez,Girona,21.0,7.0,3037,35,ESP
3,Álex Baena,Villarreal,17.0,14.0,2599,34,ESP
4,Ilkay Gündogan,Barcelona,15.0,9.0,2997,36,GER
5,Savio,Girona,14.0,10.0,2989,37,BRA
6,Lamine Yamal,Barcelona,13.0,5.0,2197,37,ESP
7,Viktor Tsigankov,Girona,12.0,7.0,2067,30,UKR
8,Luka Modric,Real Madrid,12.0,6.0,1685,32,CRO
9,Isco,Real Betis,12.0,5.0,2338,29,ESP
10,Raphinha,Barcelona,11.0,9.0,1370,28,BRA
11,Diego Lopez,Valencia CF,11.0,6.0,2671,36,ESP
12,Rodrigo De Paul,Atlético de Madrid,11.0,5.0,2084,34,ARG
13,Joao Cancelo,Barcelona,11.0,4.0,2506,32,POR
13,Marcos Llorente,Atlético de Madrid,11.0,4.0,2570,37,ESP
15,Nico Williams,Athletic Club,10.0,11.0,2280,31,ESP
16,Artem Dovbyk,Girona,10.0,8.0,2605,36,UKR
16,Robert Lewandowski,Barcelona,10.0,8.0,2758,35,POL
18,Antoine Griezmann,Atlético de Madrid,10.0,6.0,2654,33,FRA
19,Largie Ramazani,Almería,10.0,5.0,1560,29,BEL
19,Rodrigo Riquelme,Atlético de Madrid,10.0,5.0,1522,34,ESP
19,Samuel Dias Lino,Atlético de Madrid,10.0,5.0,2087,34,BRA
22,Sergio Arribas,Almería,10.0,4.0,2055,34,ESP
22,Takefusa Kubo,Real Sociedad,10.0,4.0,2155,30,JPN
24,Inaki Williams,Athletic Club,10.0,3.0,2855,34,GHA
25,Toni Kroos,Real Madrid,9.0,8.0,2130,33,GER
26,Federico Valverde,Real Madrid,9.0,7.0,2910,37,URU
27,Aleix Garcia,Girona,9.0,6.0,3201,37,ESP
27,Brahim Diaz,Real Madrid,9.0,6.0,1551,31,MAR
27,Brais Méndez,Real Sociedad,9.0,6.0,2420,32,ESP
27,Gerard Moreno,Villarreal,9.0,6.0,2229,30,ESP
27,Lucas Vázquez,Real Madrid,9.0,6.0,1410,29,ESP
32,Vinicius Junior,Real Madrid,9.0,5.0,1872,26,BRA
