Rank,Player,Team,Big Chances Missed,Shot Conversion Rate (%),Minutes,Matches,Country
1,Álvaro Morata,Atlético de Madrid,23.0,22.4,1909,32,ESP
2,Artem Dovbyk,Girona,22.0,28.2,2605,36,UKR
3,Samuel Omorodion,Alavés,19.0,13.4,2003,35,ESP
4,Robert Lewandowski,Barcelona,18.0,20.2,2758,35,POL
5,Vinicius Junior,Real Madrid,17.0,19.2,1872,26,BRA
6,Isaac Romero,Sevilla,17.0,9.5,1050,14,ESP
7,Jørgen Strand Larsen,Celta de Vigo,16.0,15.9,2887,37,NOR
8,Christopher Ramos,Cádiz,16.0,6.6,2627,37,ESP
9,Kike Garcia,Alavés,15.0,5.3,1421,33,ESP
10,Alexander Sørloth,Villarreal,14.0,29.5,2491,34,NOR
11,Youssef En-Nesyri,Sevilla,13.0,21.9,2573,33,MAR
12,Joselu,Real Madrid,13.0,15.9,1676,34,ESP
13,Cristhian Stuani,Girona,12.0,26.5,782,31,URU
14,Ante Budimir,Osasuna,12.0,22.1,2449,33,CRO
15,Rodrygo,Real Madrid,12.0,11.5,2388,34,BRA
16,Cyle Larin,Mallorca,12.0,4.4,1823,35,CAN
17,Antoine Griezmann,Atlético de Madrid,11.0,20.3,2654,33,FRA
18,Myrto Uzuni,Granada CF,11.0,17.5,2459,34,ALB
19,Inaki Williams,Athletic Club,11.0,12.9,2855,34,GHA
20,Isco,Real Betis,11.0,12.5,2338,29,ESP
21,Hugo Duro,Valencia CF,10.0,19.7,2994,37,ESP
22,Ayoze Pérez,Real Betis,10.0,13.2,2307,31,ESP
23,Vedat Muriqi,Mallorca,10.0,10.8,2329,29,KVX
24,Raphinha,Barcelona,10.0,10.2,1370,28,BRA
25,Lucas Ocampos,Sevilla,10.0,6.3,2885,35,ARG
26,Álvaro Garcia,Rayo Vallecano,9.0,13.3,2493,32,ESP
27,Nemanja Maksimovic,Getafe,9.0,11.8,3272,37,SRB
28,Iago Aspas,Celta de Vigo,9.0,11.4,2715,35,ESP
29,Mikel Oyarzabal,Real Sociedad,8.0,22.5,2157,33,ESP
30,Gorka Guruzeta,Athletic Club,8.0,21.9,2240,32,ESP
31,Dodi Lukebakio,Sevilla,8.0,11.9,1124,23,BEL
32,Oihan Sancet,Athletic Club,8.0,9.5,1991,30,ESP
33,Umar Sadiq,Real Sociedad,8.0,9.1,1074,26,NGA
34,Largie Ramazani,Almería,8.0,7.5,1560,29,BEL
35,Diego Lopez,Valencia CF,8.0,7.3,2671,36,ESP
36,Álex Baena,Villarreal,8.0,2.7,2599,34,ESP
37,Borja Mayoral,Getafe,7.0,31.9,2162,27,ESP
38,Jude Bellingham,Real Madrid,7.0,30.2,2323,28,ENG
39,Raul Garcia,Osasuna,7.0,18.2,1347,35,ESP
40,Gerard Moreno,Villarreal,7.0,15.9,2229,30,ESP
41,Fermin Lopez,Barcelona,7.0,15.7,1444,31,ESP
42,Sergio Arribas,Almería,7.0,15.0,2055,34,ESP
43,Joao Félix,Barcelona,7.0,11.5,1542,30,POR
44,Anthony Lozano,Almería,7.0,11.1,866,19,HON
45,Juanmi Latasa,Getafe,7.0,4.6,1553,32,ESP
46,Sandro Ramirez,Las Palmas,7.0,1.9,1819,27,ESP
47,Anastasios Douvikas,Celta de Vigo,6.0,26.9,886,32,GRE
48,Ángel Correa,Atlético de Madrid,6.0,20.9,1525,32,ARG
49,Ferran Torres,Barcelona,6.0,18.4,1204,29,ESP
50,Roman Yaremchuk,Valencia CF,6.0,16.7,926,25,UKR
51,Memphis Depay,Atlético de Madrid,6.0,13.2,888,23,NED
52,Leo Baptistao,Almería,6.0,12.5,1843,32,BRA
53,Ilkay Gündogan,Barcelona,6.0,11.6,2997,36,GER
54,Lucas Boye,Granada CF,6.0,10.7,2555,31,ARG
55,Yangel Herrera,Girona,6.0,9.6,2120,29,VEN
56,Munir El Haddadi,Las Palmas,6.0,7.0,2470,38,MAR
57,Federico Valverde,Real Madrid,6.0,3.6,2910,37,URU
58,Abdessamad Ezzalzouli,Real Betis,6.0,2.6,921,28,MAR
59,Marcos Llorente,Atlético de Madrid,5.0,20.0,2570,37,ESP
59,Savio,Girona,5.0,20.0,2989,37,BRA
61,Viktor Tsigankov,Girona,5.0,18.2,2067,30,UKR
62,Vitor Roque,Barcelona,5.0,15.4,319,14,BRA
63,Nico Williams,Athletic Club,5.0,8.9,2280,31,ESP
64,Luis Rioja,Alavés,5.0,8.8,2511,37,ESP
65,Jon Guridi,Alavés,5.0,8.3,2697,36,ESP
66,Samuel Dias Lino,Atlético de Madrid,5.0,7.4,2087,34,BRA
67,Jorge de Frutos,Rayo Vallecano,5.0,6.9,1542,36,ESP
68,Juan Miranda,Real Betis,5.0,6.3,1860,25,ESP
69,Antonio Puertas,Granada CF,5.0,0.0,720,27,ESP
70,Cristian Portu,Girona,4.0,31.8,1271,36,ESP
71,Pedri,Barcelona,4.0,26.7,1482,24,ESP
72,Alex Berenguer,Athletic Club,4.0,21.9,1581,35,ESP
73,Brahim Diaz,Real Madrid,4.0,21.1,1551,31,MAR
74,Willian José,Real Betis,4.0,20.8,1978,33,BRA
75,Mikel Merino,Real Sociedad,4.0,16.7,2485,32,ESP
76,Jaime Mata,Getafe,4.0,15.6,1790,35,ESP
77,Takefusa Kubo,Real Sociedad,4.0,15.2,2155,30,JPN
78,Assane Diao,Real Betis,4.0,9.5,1052,18,ESP
79,Mason Greenwood,Getafe,4.0,7.8,2667,33,ENG
80,Sory Kaba,Las Palmas,4.0,7.7,720,17,GUI
81,Gonzalo Melero,Almería,4.0,7.1,1093,28,ESP
81,Sergi Guardiola,Cádiz,4.0,7.1,475,22,ESP
83,Radamel Falcao,Rayo Vallecano,4.0,5.9,391,22,COL
84,Alejandro Catena,Osasuna,4.0,5.6,2536,30,ESP
84,Isi Palazon,Rayo Vallecano,4.0,5.6,2810,37,ESP
86,Adrián Embarba,Almería,4.0,4.7,2485,36,ESP
87,Robert Navarro,Cádiz,4.0,3.3,1905,28,ESP
88,Alex Sola,Alavés,4.0,0.0,1285,31,ESP
89,José Luis Morales,Villarreal,3.0,26.9,1037,29,ESP
90,Daniel Carvajal,Real Madrid,3.0,22.2,2172,28,ESP
91,Asier Villalibre,Athletic Club,3.0,16.7,503,18,ESP
92,Antonio Sánchez,Mallorca,3.0,13.0,1463,29,ESP
93,Goncalo Guedes,Villarreal,3.0,11.5,951,17,POR
94,Rubén Garcia,Osasuna,3.0,10.7,1549,30,ESP
95,Lamine Yamal,Barcelona,3.0,8.6,2197,37,ESP
96,Carl Starfelt,Celta de Vigo,3.0,8.3,2218,27,SWE
96,Johnny,Real Betis,3.0,8.3,1331,17,USA
98,Jonathan Viera,Almería,3.0,7.7,1541,21,ESP
98,Kike Pérez,Rayo Vallecano,3.0,7.7,828,24,ESP
100,Jonathan Bamba,Celta de Vigo,3.0,7.3,1993,27,CIV
101,Giuliano Simeone,Alavés,3.0,6.7,628,14,ARG
102,Roger,Cádiz,3.0,6.1,1367,23,ESP
103,Ezequiel Ávila,Osasuna,3.0,5.6,1166,23,ARG
104,Unai Nunez,Celta de Vigo,3.0,4.6,2802,34,ESP
105,Germán Pezzella,Real Betis,3.0,4.4,2770,32,ARG
106,Nabil Fekir,Real Betis,3.0,3.6,1049,19,FRA
107,Javier Hernández,Cádiz,3.0,3.3,2517,30,ESP
108,Raul de Tomas,Rayo Vallecano,3.0,2.6,1277,25,ESP
109,Sergi Canos,Valencia CF,3.0,2.3,1234,27,ESP
110,Ianis Hagi,Alavés,3.0,0.0,798,22,ROU
110,Jhon Solis,Girona,3.0,0.0,369,18,COL
110,Jordi Martin,Getafe,3.0,0.0,574,13,ESP
110,Lázaro,Almería,3.0,0.0,274,14,BRA
110,Luiz Henrique,Real Betis,3.0,0.0,611,14,BRA
110,Omar Alderete,Getafe,3.0,0.0,2194,31,PAR
110,Peter González,Valencia CF,3.0,0.0,646,15,DOM
110,Rafa Marin,Alavés,3.0,0.0,2442,33,ESP
118,Luka Romero,Almería,2.0,37.5,434,13,ARG
119,Eric Garcia,Girona,2.0,29.4,2697,32,ESP
120,Alex Suárez,Las Palmas,2.0,28.6,2566,32,ESP
120,Axel Witsel,Atlético de Madrid,2.0,28.6,2784,35,BEL
122,Iván Martin,Girona,2.0,26.3,2744,36,ESP
123,Lucas Vázquez,Real Madrid,2.0,25.0,1410,29,ESP
124,Erik Lamela,Sevilla,2.0,22.2,459,13,ARG
125,Marko Milovanovic,Almería,2.0,20.0,301,11,SRB
126,Abdon Prats,Mallorca,2.0,18.2,1258,34,ESP
126,Martin Zubimendi,Real Sociedad,2.0,18.2,2655,31,ESP
128,Bryan Zaragoza,Granada CF,2.0,17.7,1640,21,ESP
128,Pablo Fornals,Real Betis,2.0,17.7,1153,15,ESP
130,Dani Garcia,Athletic Club,2.0,16.7,738,17,ESP
130,Yuri Berchiche,Athletic Club,2.0,16.7,1931,27,ESP
