Rank,Player,Team,Successful Dribbles per 90,Dribble Success Rate (%),Minutes,Matches,Country
1,Bebé,Rayo Vallecano,5.6,57.1,193,19,CPV
2,Ilias Akhomach,Villarreal,3.4,49.1,1511,31,MAR
3,Nico Williams,Athletic Club,3.4,48.3,2280,31,ESP
4,Brahim Diaz,Real Madrid,3.2,52.9,1551,31,MAR
5,Savio,Girona,3.1,53.6,2989,37,BRA
6,Vinicius Junior,Real Madrid,3.1,40.6,1872,26,BRA
7,Alex Sola,Alavés,3.0,61.4,1285,31,ESP
8,Isco,Real Betis,2.9,59.4,2338,29,ESP
9,Lamine Yamal,Barcelona,2.9,54.7,2197,37,ESP
10,Bryan Zaragoza,Granada CF,2.9,44.9,1640,21,ESP
11,Alberto Moleiro,Las Palmas,2.8,51.4,1807,28,ESP
12,Selim Amallah,Valencia CF,2.7,54.5,597,20,MAR
13,Umar Sadiq,Real Sociedad,2.6,64.6,1074,26,NGA
14,Robert Navarro,Cádiz,2.6,49.5,1905,28,ESP
15,Mason Greenwood,Getafe,2.4,58.1,2667,33,ENG
16,Ander Barrenetxea,Real Sociedad,2.4,55.9,1436,29,ESP
17,Dodi Lukebakio,Sevilla,2.4,53.6,1124,23,BEL
18,Takefusa Kubo,Real Sociedad,2.3,55.6,2155,30,JPN
19,Rodrygo,Real Madrid,2.3,46.9,2388,34,BRA
20,Joao Cancelo,Barcelona,2.2,61.6,2506,32,POR
21,Abdessamad Ezzalzouli,Real Betis,2.2,47.9,921,28,MAR
22,Oscar Trejo,Rayo Vallecano,2.2,43.4,1381,31,ARG
23,Rodri,Real Betis,2.1,50.0,1039,29,ESP
24,Pablo Barrios,Atlético de Madrid,2.0,79.5,1556,24,ESP
25,Ayoze Pérez,Real Betis,2.0,48.1,2307,31,ESP
26,Iker Muniain,Athletic Club,2.0,44.8,585,20,ESP
27,Jude Bellingham,Real Madrid,1.9,58.8,2323,28,ENG
28,Juanlu Sánchez,Sevilla,1.9,51.0,1174,26,ESP
29,Antonio Puertas,Granada CF,1.9,50.0,720,27,ESP
30,Yan Couto,Girona,1.9,49.0,2245,34,BRA
31,Jonathan Bamba,Celta de Vigo,1.9,44.2,1993,27,CIV
32,Lucas Boye,Granada CF,1.9,41.4,2555,31,ARG
33,Nabil Fekir,Real Betis,1.8,77.8,1049,19,FRA
34,Renato Tapia,Celta de Vigo,1.8,75.0,1337,21,PER
35,Eduardo Camavinga,Real Madrid,1.8,66.7,1824,31,FRA
36,Memphis Depay,Atlético de Madrid,1.8,52.9,888,23,NED
37,Largie Ramazani,Almería,1.8,44.9,1560,29,BEL
38,Samuel Dias Lino,Atlético de Madrid,1.7,58.8,2087,34,BRA
39,Gerard Moreno,Villarreal,1.7,54.4,2229,30,ESP
40,Ángel Correa,Atlético de Madrid,1.7,50.9,1525,32,ARG
41,Fran Pérez,Valencia CF,1.7,46.0,2069,32,ESP
42,Marc Cardona,Las Palmas,1.7,42.4,724,26,ESP
43,Adrián Embarba,Almería,1.7,41.4,2485,36,ESP
44,Joao Félix,Barcelona,1.7,36.3,1542,30,POR
45,Ianis Hagi,Alavés,1.6,63.6,798,22,ROU
46,Suso,Sevilla,1.6,62.8,1514,29,ESP
47,Marc Pubill,Almería,1.6,58.9,1889,23,ESP
48,Raphinha,Barcelona,1.6,55.8,1370,28,BRA
49,Javi Galán,Real Sociedad,1.6,51.3,1159,19,ESP
50,Luis Rioja,Alavés,1.5,64.1,2511,37,ESP
51,Javi Lopez,Alavés,1.5,59.4,2387,32,ESP
52,Jesus Areso,Osasuna,1.5,56.4,2661,37,ESP
53,Lucas Vázquez,Real Madrid,1.5,55.8,1410,29,ESP
54,Rubén Pena,Osasuna,1.5,51.5,2105,29,ESP
55,Inaki Williams,Athletic Club,1.5,45.0,2855,34,GHA
56,Lucas Ocampos,Sevilla,1.5,42.1,2885,35,ARG
57,Dion Lopy,Almería,1.4,65.9,1917,30,SEN
58,Fermin Lopez,Barcelona,1.4,64.7,1444,31,ESP
59,Sergi Darder,Mallorca,1.4,61.8,2154,36,ESP
60,Enzo Loiodice,Las Palmas,1.4,57.1,1792,34,FRA
61,Javier Guerra,Valencia CF,1.4,52.1,2502,36,ESP
62,Raul de Tomas,Rayo Vallecano,1.4,51.3,1277,25,ESP
63,Étienne Capoue,Villarreal,1.4,51.2,1444,32,FRA
64,Rodrigo Riquelme,Atlético de Madrid,1.4,38.7,1522,34,ESP
65,Iván Martin,Girona,1.3,66.1,2744,36,ESP
66,Ramon Terrats,Villarreal,1.3,55.0,780,19,ESP
67,Sergi Guardiola,Cádiz,1.3,53.8,475,22,ESP
67,Valery Fernández,Girona,1.3,53.8,486,27,ESP
69,Sergi Canos,Valencia CF,1.3,50.0,1234,27,ESP
70,Oscar Rodriguez,Getafe,1.3,46.7,962,24,ESP
71,Iván Alejo,Cádiz,1.3,43.6,1702,30,ESP
72,Abderrahman Rebbach,Alavés,1.3,38.5,713,23,ALG
73,Manu Morlanes,Mallorca,1.2,75.0,1610,35,ESP
74,Gonzalo Villar,Granada CF,1.2,60.5,1785,35,ESP
75,Rodrigo De Paul,Atlético de Madrid,1.2,58.3,2084,34,ARG
76,Oihan Sancet,Athletic Club,1.2,53.1,1991,30,ESP
77,Unai Gomez,Athletic Club,1.2,46.2,867,25,ESP
78,Alex Berenguer,Athletic Club,1.2,37.5,1581,35,ESP
79,Santi Comesana,Villarreal,1.1,65.6,1656,27,ESP
80,Benat Turrientes,Real Sociedad,1.1,60.0,1688,29,ESP
81,Dimitri Foulquier,Valencia CF,1.1,57.9,1833,33,FRA
82,Luka Modric,Real Madrid,1.1,55.3,1685,32,CRO
83,Sergio Akieme,Almería,1.1,53.8,1676,19,EQG
84,Jonathan Viera,Almería,1.1,52.8,1541,21,ESP
85,Oscar Mingueza,Celta de Vigo,1.1,51.4,3002,38,ESP
86,Sandro Ramirez,Las Palmas,1.1,46.8,1819,27,ESP
87,Daniel Rodriguez,Mallorca,1.1,45.2,2632,36,ESP
88,Isi Palazon,Rayo Vallecano,1.1,43.8,2810,37,ESP
89,Alexander Sørloth,Villarreal,1.1,42.9,2491,34,NOR
90,José Arnáiz,Osasuna,1.1,42.3,922,26,ESP
91,Iago Aspas,Celta de Vigo,1.0,70.7,2715,35,ESP
92,Rubén Garcia,Osasuna,1.0,66.7,1549,30,ESP
93,Ilkay Gündogan,Barcelona,1.0,64.2,2997,36,GER
94,Aimar Oroz,Osasuna,1.0,59.1,2350,33,ESP
95,Pablo Maffeo,Mallorca,1.0,55.2,1456,22,ARG
96,Thierry Correia,Valencia CF,1.0,52.3,2157,31,POR
97,Kike Garcia,Alavés,1.0,50.0,1421,33,ESP
98,Viktor Tsigankov,Girona,1.0,47.8,2067,30,UKR
99,Pedri,Barcelona,1.0,44.4,1482,24,ESP
100,Samuel Omorodion,Alavés,1.0,40.0,2003,35,ESP
101,Kike Pérez,Rayo Vallecano,1.0,32.1,828,24,ESP
102,Pathé Ciss,Rayo Vallecano,0.9,85.0,1658,31,SEN
103,Iddrisu Baba,Almería,0.9,82.4,1424,25,GHA
104,Yangel Herrera,Girona,0.9,75.9,2120,29,VEN
105,Inigo Ruiz de Galarreta,Athletic Club,0.9,73.3,2104,29,ESP
106,Mikel Merino,Real Sociedad,0.9,64.9,2485,32,ESP
107,Oscar Melendo,Granada CF,0.9,57.9,1126,26,ESP
108,Unai Lopez,Rayo Vallecano,0.9,56.4,2123,35,ESP
109,Antonio Sánchez,Mallorca,0.9,53.8,1463,29,ESP
110,Pep Chavarria,Rayo Vallecano,0.9,52.4,1164,22,ESP
111,Álex Baena,Villarreal,0.9,52.0,2599,34,ESP
112,Lucas Pires,Cádiz,0.9,51.7,1527,28,BRA
113,Alfonso Espino,Rayo Vallecano,0.9,49.0,2512,31,URU
114,Marvin Park,Las Palmas,0.9,47.5,1852,31,ESP
115,Anastasios Douvikas,Celta de Vigo,0.9,45.0,886,32,GRE
116,Brais Méndez,Real Sociedad,0.9,43.6,2420,32,ESP
117,Jørgen Strand Larsen,Celta de Vigo,0.9,42.6,2887,37,NOR
118,Diego Lopez,Valencia CF,0.9,41.2,2671,36,ESP
119,Ruben Sobrino,Cádiz,0.9,41.0,1648,32,ESP
120,Jorge de Frutos,Rayo Vallecano,0.9,37.5,1542,36,ESP
