Rank,Player,Team,Clearances per 90,Total Clearances,Minutes,Matches,Country
1,Carl Starfelt,Celta de Vigo,6.3,155.0,2218,27,SWE
2,José Giménez,Atlético de Madrid,6.2,91.0,1323,22,URU
3,Sergio Ramos,Sevilla,5.6,156.0,2518,28,ESP
4,Gabriel Paulista,Atlético de Madrid,5.2,104.0,1806,23,BRA
5,Aridane Hernández,Rayo Vallecano,5.2,98.0,1691,19,EQG
6,Jorge Cuenca,Villarreal,5.0,108.0,1961,29,ESP
7,Unai Nunez,Celta de Vigo,4.8,150.0,2802,34,ESP
8,Kike Salas,Sevilla,4.8,86.0,1604,23,ESP
9,Rafa Marin,Alavés,4.7,128.0,2442,33,ESP
10,Germán Pezzella,Real Betis,4.7,144.0,2770,32,ARG
11,César Montes,Almería,4.7,94.0,1792,21,MEX
12,Saul Coco,Las Palmas,4.6,116.0,2293,30,EQG
13,Omar Alderete,Getafe,4.5,109.0,2194,31,PAR
14,Loic Badé,Sevilla,4.5,113.0,2283,28,FRA
14,Matija Nastasic,Mallorca,4.5,113.0,2257,26,SRB
16,Raul Albiol,Villarreal,4.5,102.0,2035,26,ESP
17,Nahuel Tenaglia,Alavés,4.5,57.0,1131,25,ARG
18,Cenk Özkacar,Valencia CF,4.5,79.0,1595,23,TUR
19,David Garcia,Osasuna,4.4,113.0,2336,27,ESP
20,Chadi Riad,Real Betis,4.4,105.0,2164,26,MAR
21,Abdul Mumin,Rayo Vallecano,4.4,82.0,1695,20,GHA
22,Edgar González,Almería,4.3,122.0,2528,31,ESP
23,Abdelkabir Abqar,Alavés,4.3,110.0,2314,27,MAR
24,Antonio Raillo,Mallorca,4.3,104.0,2198,26,ESP
25,Victor Chust,Cádiz,4.3,90.0,1870,22,ESP
26,Florian Lejeune,Rayo Vallecano,4.2,154.0,3328,37,FRA
27,Carlos Dominguez,Celta de Vigo,4.2,74.0,1585,22,ESP
28,Alejandro Catena,Osasuna,4.1,115.0,2536,30,ESP
29,Fali,Cádiz,4.1,117.0,2550,30,ESP
30,Martin Valjent,Mallorca,4.1,107.0,2354,28,SVK
31,Miguel Rubio,Granada CF,4.1,71.0,1559,19,ESP
32,Mika Mármol,Las Palmas,4.0,143.0,3181,36,ESP
