Rank,Player,Team,Expected Assists (xA),Actual Assists,Minutes,Matches,Country
1,Savio,Girona,9.9,10.0,2989,37,BRA
2,Ilkay Gündogan,Barcelona,9.8,9.0,2997,36,GER
3,Álex Baena,Villarreal,9.5,14.0,2599,34,ESP
4,Iago Aspas,Celta de Vigo,9.3,10.0,2715,35,ESP
5,Nico Williams,Athletic Club,7.5,11.0,2280,31,ESP
6,Miguel Gutiérrez,Girona,6.8,7.0,3037,35,ESP
7,Joao Cancelo,Barcelona,6.7,4.0,2506,32,POR
8,Viktor Tsigankov,Girona,6.5,7.0,2067,30,UKR
9,Lamine Yamal,Barcelona,6.5,5.0,2197,37,ESP
10,Takefusa Kubo,Real Sociedad,6.5,4.0,2155,30,JPN
11,Isco,Real Betis,6.4,5.0,2338,29,ESP
12,Rodrigo De Paul,Atlético de Madrid,6.2,5.0,2084,34,ARG
13,Oscar Mingueza,Celta de Vigo,6.2,2.0,3002,38,ESP
14,Aleix Garcia,Girona,6.0,6.0,3201,37,ESP
15,Toni Kroos,Real Madrid,5.9,8.0,2130,33,GER
16,Antoine Griezmann,Atlético de Madrid,5.8,6.0,2654,33,FRA
17,Inaki Williams,Athletic Club,5.8,3.0,2855,34,GHA
18,Daniel Rodriguez,Mallorca,5.2,4.0,2632,36,ESP
19,Raphinha,Barcelona,5.0,9.0,1370,28,BRA
20,Sergi Darder,Mallorca,5.0,5.0,2154,36,ESP
21,Suso,Sevilla,4.9,4.0,1514,29,ESP
22,Frenkie de Jong,Barcelona,4.9,0.0,1637,20,NED
23,Luka Modric,Real Madrid,4.8,6.0,1685,32,CRO
24,Brahim Diaz,Real Madrid,4.7,6.0,1551,31,MAR
25,Gerard Moreno,Villarreal,4.6,6.0,2229,30,ESP
26,Marcos Llorente,Atlético de Madrid,4.5,4.0,2570,37,ESP
27,Pepelu,Valencia CF,4.5,1.0,3305,37,ESP
28,Brais Méndez,Real Sociedad,4.4,6.0,2420,32,ESP
29,Vinicius Junior,Real Madrid,4.4,5.0,1872,26,BRA
30,Yan Couto,Girona,4.3,8.0,2245,34,BRA
31,Jude Bellingham,Real Madrid,4.3,6.0,2323,28,ENG
31,Mason Greenwood,Getafe,4.3,6.0,2667,33,ENG
33,Rodrygo,Real Madrid,4.2,5.0,2388,34,BRA
34,Luis Rioja,Alavés,4.2,4.0,2511,37,ESP
35,Bryan Zaragoza,Granada CF,4.2,2.0,1640,21,ESP
36,Lucas Ocampos,Sevilla,4.1,3.0,2885,35,ARG
37,Pedri,Barcelona,4.1,2.0,1482,24,ESP
38,Ivan Rakitic,Sevilla,4.1,1.0,1425,18,CRO
39,Daniel Parejo,Villarreal,4.0,5.0,2586,33,ESP
40,Alex Berenguer,Athletic Club,4.0,3.0,1581,35,ESP
40,Gerard Gumbau,Granada CF,4.0,3.0,2684,35,ESP
42,Ángel Correa,Atlético de Madrid,3.8,2.0,1525,32,ARG
43,Artem Dovbyk,Girona,3.7,8.0,2605,36,UKR
44,Rodrigo Riquelme,Atlético de Madrid,3.7,5.0,1522,34,ESP
45,Jonathan Bamba,Celta de Vigo,3.7,2.0,1993,27,CIV
45,Sergi Cardona,Las Palmas,3.7,2.0,2816,35,ESP
47,Robert Lewandowski,Barcelona,3.6,8.0,2758,35,POL
48,Lucas Vázquez,Real Madrid,3.6,6.0,1410,29,ESP
49,Adrián Embarba,Almería,3.6,2.0,2485,36,ESP
50,Samuel Dias Lino,Atlético de Madrid,3.5,5.0,2087,34,BRA
51,Rubén Garcia,Osasuna,3.5,2.0,1549,30,ESP
52,Diego Rico,Getafe,3.4,7.0,2536,32,ESP
52,Federico Valverde,Real Madrid,3.4,7.0,2910,37,URU
54,Oscar de Marcos,Athletic Club,3.4,5.0,2261,28,ESP
55,Iván Martin,Girona,3.3,4.0,2744,36,ESP
55,Sergio Arribas,Almería,3.3,4.0,2055,34,ESP
57,Johan Mojica,Osasuna,3.2,3.0,2041,30,COL
58,Daniel Carvajal,Real Madrid,3.1,3.0,2172,28,ESP
59,Alexander Sørloth,Villarreal,3.0,6.0,2491,34,NOR
60,Manuel Sánchez,Celta de Vigo,3.0,5.0,1777,26,ESP
61,Koke,Atlético de Madrid,3.0,4.0,2502,35,ESP
62,Sandro Ramirez,Las Palmas,3.0,3.0,1819,27,ESP
63,Rubén Pena,Osasuna,3.0,2.0,2105,29,ESP
64,Ayoze Pérez,Real Betis,3.0,1.0,2307,31,ESP
64,Myrto Uzuni,Granada CF,3.0,1.0,2459,34,ALB
66,Jesus Areso,Osasuna,2.9,6.0,2661,37,ESP
67,Oihan Sancet,Athletic Club,2.9,5.0,1991,30,ESP
68,Carlos Vicente,Alavés,2.9,4.0,1118,18,ESP
68,Jon Guridi,Alavés,2.9,4.0,2697,36,ESP
70,Alfonso Espino,Rayo Vallecano,2.9,1.0,2512,31,URU
70,Álvaro Garcia,Rayo Vallecano,2.9,1.0,2493,32,ESP
72,Ezequiel Ávila,Real Betis,2.8,3.0,1166,23,ARG
72,Mikel Merino,Real Sociedad,2.8,3.0,2485,32,ESP
74,Iván Alejo,Cádiz,2.8,2.0,1702,30,ESP
74,Javier Hernández,Cádiz,2.8,2.0,2517,30,ESP
74,Jesus Navas,Sevilla,2.8,2.0,2010,29,ESP
74,Kirian Rodriguez,Las Palmas,2.8,2.0,3217,37,ESP
74,Munir El Haddadi,Las Palmas,2.8,2.0,2470,38,MAR
79,Alberto Moleiro,Las Palmas,2.7,3.0,1807,28,ESP
80,Nabil Fekir,Real Betis,2.7,2.0,1049,19,FRA
80,Unai Lopez,Rayo Vallecano,2.7,2.0,2123,35,ESP
82,Ricard Sánchez,Granada CF,2.7,0.0,2298,33,ESP
83,Joao Félix,Barcelona,2.6,3.0,1542,30,POR
84,Jules Koundé,Barcelona,2.6,2.0,2899,35,FRA
85,Cristian Portu,Girona,2.5,5.0,1271,36,ESP
86,Javi Lopez,Alavés,2.5,3.0,2387,32,ESP
86,Jon Moncayola,Osasuna,2.5,3.0,1801,33,ESP
