Rank,Player,Team,Expected Assists per 90,Actual Assists per 90,Minutes,Matches,Country
1,Raphinha,Barcelona,0.33,0.6,1370,28,BRA
2,Álex Baena,Villarreal,0.33,0.5,2599,34,ESP
3,Iago Aspas,Celta de Vigo,0.31,0.3,2715,35,ESP
4,Nico Williams,Athletic Club,0.3,0.4,2280,31,ESP
5,Savio,Girona,0.3,0.3,2989,37,BRA
6,Ilkay Gündogan,Barcelona,0.29,0.3,2997,36,GER
7,Suso,Sevilla,0.29,0.2,1514,29,ESP
8,Viktor Tsigankov,Girona,0.28,0.3,2067,30,UKR
9,Brahim Diaz,Real Madrid,0.27,0.3,1551,31,MAR
10,Lamine Yamal,Barcelona,0.27,0.2,2197,37,ESP
10,Rodrigo De Paul,Atlético de Madrid,0.27,0.2,2084,34,ARG
10,Takefusa Kubo,Real Sociedad,0.27,0.2,2155,30,JPN
13,Frenkie de Jong,Barcelona,0.27,0.0,1637,20,NED
14,Luka Modric,Real Madrid,0.26,0.3,1685,32,CRO
15,Toni Kroos,Real Madrid,0.25,0.3,2130,33,GER
16,Pedri,Barcelona,0.25,0.1,1482,24,ESP
17,Bebé,Rayo Vallecano,0.25,0.0,193,19,CPV
18,Isco,Real Betis,0.24,0.2,2338,29,ESP
19,Joao Cancelo,Barcelona,0.24,0.1,2506,32,POR
20,Lucas Vázquez,Real Madrid,0.23,0.4,1410,29,ESP
21,Alex Berenguer,Athletic Club,0.23,0.2,1581,35,ESP
21,Nabil Fekir,Real Betis,0.23,0.2,1049,19,FRA
23,Bryan Zaragoza,Granada CF,0.23,0.1,1640,21,ESP
24,Rodrigo Riquelme,Atlético de Madrid,0.22,0.3,1522,34,ESP
25,Ezequiel Ávila,Real Betis,0.22,0.2,1166,23,ARG
26,Ángel Correa,Atlético de Madrid,0.22,0.1,1525,32,ARG
27,Sergi Darder,Mallorca,0.21,0.2,2154,36,ESP
27,Vinicius Junior,Real Madrid,0.21,0.2,1872,26,BRA
29,Rubén Garcia,Osasuna,0.21,0.1,1549,30,ESP
30,Abderrahman Rebbach,Alavés,0.21,0.0,713,23,ALG
31,Antoine Griezmann,Atlético de Madrid,0.2,0.2,2654,33,FRA
31,Ianis Hagi,Alavés,0.2,0.2,798,22,ROU
31,Miguel Gutiérrez,Girona,0.2,0.2,3037,35,ESP
34,Iker Muniain,Athletic Club,0.2,0.0,585,20,ESP
35,Pablo Torre,Girona,0.19,0.3,690,26,ESP
36,Alfonso Pedraza,Villarreal,0.19,0.2,1119,19,ESP
36,Gerard Moreno,Villarreal,0.19,0.2,2229,30,ESP
38,Rodri,Real Betis,0.19,0.0,1039,29,ESP
39,Daniel Rodriguez,Mallorca,0.18,0.1,2632,36,ESP
39,Inaki Williams,Athletic Club,0.18,0.1,2855,34,GHA
39,Oscar Mingueza,Celta de Vigo,0.18,0.1,3002,38,ESP
42,Cristian Portu,Girona,0.17,0.4,1271,36,ESP
43,Ander Herrera,Athletic Club,0.17,0.3,1023,23,ESP
43,Yan Couto,Girona,0.17,0.3,2245,34,BRA
45,Aleix Garcia,Girona,0.17,0.2,3201,37,ESP
45,Brais Méndez,Real Sociedad,0.17,0.2,2420,32,ESP
45,Jude Bellingham,Real Madrid,0.17,0.2,2323,28,ENG
48,Arsen Zakharyan,Real Sociedad,0.17,0.1,1229,29,RUS
48,Jonathan Bamba,Celta de Vigo,0.17,0.1,1993,27,CIV
50,Daniel Ceballos,Real Madrid,0.16,0.3,586,20,ESP
51,Rodrygo,Real Madrid,0.16,0.2,2388,34,BRA
51,Sergi Guardiola,Cádiz,0.16,0.2,475,22,ESP
53,José Arnáiz,Osasuna,0.16,0.1,922,26,ESP
53,José Maria Callejon,Granada CF,0.16,0.1,794,25,ESP
53,Marcos Llorente,Atlético de Madrid,0.16,0.1,2570,37,ESP
53,Memphis Depay,Atlético de Madrid,0.16,0.1,888,23,NED
57,Manuel Sánchez,Celta de Vigo,0.15,0.3,1777,26,ESP
58,Alex Sola,Alavés,0.15,0.2,1285,31,ESP
58,Joao Félix,Barcelona,0.15,0.2,1542,30,POR
58,Samuel Dias Lino,Atlético de Madrid,0.15,0.2,2087,34,BRA
61,Ilias Akhomach,Villarreal,0.15,0.1,1511,31,MAR
