Rank,Player,Team,Expected Goals (xG),Actual Goals,Minutes,Matches,Country
1,Artem Dovbyk,Girona,24.3,24.0,2605,36,UKR
2,Robert Lewandowski,Barcelona,18.1,19.0,2758,35,POL
3,Jørgen Strand Larsen,Celta de Vigo,14.9,13.0,2887,37,NOR
4,Ante Budimir,Osasuna,14.2,17.0,2449,33,CRO
5,Álvaro Morata,Atlético de Madrid,13.8,15.0,1909,32,ESP
6,Vinicius Junior,Real Madrid,13.1,15.0,1872,26,BRA
7,Myrto Uzuni,Granada CF,13.0,11.0,2459,34,ALB
8,Alexander Sørloth,Villarreal,12.7,23.0,2491,34,NOR
9,Antoine Griezmann,Atlético de Madrid,12.4,16.0,2654,33,FRA
10,Joselu,Real Madrid,12.0,10.0,1676,34,ESP
11,Borja Mayoral,Getafe,11.9,15.0,2162,27,ESP
12,Rodrygo,Real Madrid,11.8,10.0,2388,34,BRA
13,Gorka Guruzeta,Athletic Club,11.7,14.0,2240,32,ESP
14,Hugo Duro,Valencia CF,11.5,13.0,2994,37,ESP
15,Iago Aspas,Celta de Vigo,11.5,9.0,2715,35,ESP
15,Samuel Omorodion,Alavés,11.5,9.0,2003,35,ESP
17,Jude Bellingham,Real Madrid,11.1,19.0,2323,28,ENG
18,Youssef En-Nesyri,Sevilla,10.8,16.0,2573,33,MAR
19,Vedat Muriqi,Mallorca,10.5,7.0,2329,29,KVX
20,Christopher Ramos,Cádiz,10.2,5.0,2627,37,ESP
21,Gerard Moreno,Villarreal,9.7,10.0,2229,30,ESP
22,Cristhian Stuani,Girona,9.7,9.0,782,31,URU
23,Inaki Williams,Athletic Club,9.4,12.0,2855,34,GHA
24,Mikel Oyarzabal,Real Sociedad,9.2,9.0,2157,33,ESP
25,Cyle Larin,Mallorca,9.1,3.0,1823,35,CAN
26,Mason Greenwood,Getafe,8.8,8.0,2667,33,ENG
27,Joao Félix,Barcelona,8.8,7.0,1542,30,POR
28,Sergio Arribas,Almería,8.6,9.0,2055,34,ESP
29,Isco,Real Betis,8.3,8.0,2338,29,ESP
30,Álex Baena,Villarreal,8.1,2.0,2599,34,ESP
31,Ángel Correa,Atlético de Madrid,8.0,9.0,1525,32,ARG
32,Kike Garcia,Alavés,7.7,3.0,1421,33,ESP
33,Fermin Lopez,Barcelona,7.5,8.0,1444,31,ESP
34,Ayoze Pérez,Real Betis,7.4,9.0,2307,31,ESP
35,Raphinha,Barcelona,7.4,6.0,1370,28,BRA
36,Pepelu,Valencia CF,7.3,7.0,3305,37,ESP
37,Ilkay Gündogan,Barcelona,7.3,5.0,2997,36,GER
38,Isaac Romero,Sevilla,7.3,4.0,1050,14,ESP
39,Luis Suárez,Almería,6.5,6.0,917,15,COL
40,Viktor Tsigankov,Girona,6.3,8.0,2067,30,UKR
41,Oihan Sancet,Athletic Club,6.3,4.0,1991,30,ESP
42,Álvaro Garcia,Rayo Vallecano,6.2,6.0,2493,32,ESP
42,Lucas Boye,Granada CF,6.2,6.0,2555,31,ARG
44,Luis Rioja,Alavés,6.2,5.0,2511,37,ESP
45,Savio,Girona,6.1,9.0,2989,37,BRA
46,Nico Williams,Athletic Club,6.0,5.0,2280,31,ESP
47,Isi Palazon,Rayo Vallecano,5.9,4.0,2810,37,ESP
48,Brahim Diaz,Real Madrid,5.8,8.0,1551,31,MAR
49,Memphis Depay,Atlético de Madrid,5.8,5.0,888,23,NED
50,Willian José,Real Betis,5.7,10.0,1978,33,BRA
51,Samuel Dias Lino,Atlético de Madrid,5.7,4.0,2087,34,BRA
52,José Luis Morales,Villarreal,5.6,7.0,1037,29,ESP
53,Dodi Lukebakio,Sevilla,5.6,5.0,1124,23,BEL
53,Jaime Mata,Getafe,5.6,5.0,1790,35,ESP
55,Ferran Torres,Barcelona,5.5,7.0,1204,29,ESP
56,Nemanja Maksimovic,Getafe,5.5,4.0,3272,37,SRB
57,Lucas Ocampos,Sevilla,5.4,4.0,2885,35,ARG
58,Leo Baptistao,Almería,5.3,6.0,1843,32,BRA
59,Alex Berenguer,Athletic Club,5.2,7.0,1581,35,ESP
60,Lamine Yamal,Barcelona,5.2,5.0,2197,37,ESP
61,Raul Garcia,Osasuna,4.9,6.0,1347,35,ESP
62,Yangel Herrera,Girona,4.9,5.0,2120,29,VEN
63,Largie Ramazani,Almería,4.7,3.0,1560,29,BEL
