Rank,Player,Team,Fouls Committed per 90,Yellow Cards,Minutes,Matches,Country
1,Kike Pérez,Rayo Vallecano,4.6,7.0,828,24,ESP
2,Raul Garcia,Athletic Club,4.5,4.0,404,20,ESP
3,Juanmi Latasa,Getafe,3.8,5.0,1553,32,ESP
4,Umar Sadiq,Real Sociedad,3.8,4.0,1074,26,NGA
5,Radamel Falcao,Rayo Vallecano,3.5,4.0,391,22,COL
6,Sergi Guardiola,Cádiz,3.4,1.0,475,22,ESP
7,Jaime Mata,Getafe,3.2,8.0,1790,35,ESP
8,Cristhian Stuani,Girona,3.2,6.0,782,31,URU
9,Selim Amallah,Valencia CF,3.2,3.0,597,20,MAR
10,Carlos Benavidez,Alavés,3.1,5.0,1121,29,URU
11,Anthony Lozano,Almería,2.9,2.0,866,19,HON
12,Yangel Herrera,Girona,2.8,9.0,2120,29,VEN
13,Saul Niguez,Atlético de Madrid,2.7,8.0,1363,34,ESP
14,Fermin Lopez,Barcelona,2.7,2.0,1444,31,ESP
15,Iván Alejo,Cádiz,2.6,17.0,1702,30,ESP
16,Oscar Valentin,Rayo Vallecano,2.6,5.0,2700,34,ESP
17,Oscar Trejo,Rayo Vallecano,2.6,4.0,1381,31,ARG
18,Antonio Puertas,Granada CF,2.6,3.0,720,27,ESP
19,Mikel Merino,Real Sociedad,2.5,10.0,2485,32,ESP
20,Unai Lopez,Rayo Vallecano,2.5,9.0,2123,35,ESP
21,Lucas Boye,Granada CF,2.5,8.0,2555,31,ARG
21,Ruben Sobrino,Cádiz,2.5,8.0,1648,32,ESP
23,Hugo Guillamon,Valencia CF,2.5,6.0,1305,26,ESP
24,Rubén Alcaraz,Cádiz,2.4,13.0,3138,36,ESP
25,Eduardo Camavinga,Real Madrid,2.4,9.0,1824,31,FRA
26,Samu,Mallorca,2.4,8.0,2305,34,POR
27,José Copete,Mallorca,2.4,7.0,1335,19,ESP
28,Ilias Akhomach,Villarreal,2.4,4.0,1511,31,MAR
29,José Ángel Carmona,Getafe,2.3,9.0,1312,30,ESP
30,Inigo Ruiz de Galarreta,Athletic Club,2.3,7.0,2104,29,ESP
31,Brais Méndez,Real Sociedad,2.2,7.0,2420,32,ESP
31,Gonzalo Villar,Granada CF,2.2,7.0,1785,35,ESP
33,Lucas Torro,Osasuna,2.2,5.0,1788,28,ESP
33,Marc Roca,Real Betis,2.2,5.0,1986,26,ESP
35,Roger,Cádiz,2.2,3.0,1367,23,ESP
36,Gerard Gumbau,Granada CF,2.1,12.0,2684,35,ESP
37,Daniel Rodriguez,Mallorca,2.1,9.0,2632,36,ESP
38,Christopher Ramos,Cádiz,2.1,5.0,2627,37,ESP
38,Pablo Ibánez,Osasuna,2.1,5.0,1141,33,ESP
40,Carles Alena,Getafe,2.0,6.0,1007,29,ESP
41,Jørgen Strand Larsen,Celta de Vigo,2.0,5.0,2887,37,NOR
42,Oscar Rodriguez,Getafe,1.9,9.0,962,24,ESP
43,Marvin Park,Las Palmas,1.9,5.0,1852,31,ESP
44,Benat Turrientes,Real Sociedad,1.9,4.0,1688,29,ESP
45,Nabil Fekir,Real Betis,1.9,1.0,1049,19,FRA
46,Dodi Lukebakio,Sevilla,1.9,0.0,1124,23,BEL
47,Djené,Getafe,1.8,12.0,2490,33,TOG
48,Álex Baena,Villarreal,1.8,11.0,2599,34,ESP
49,Kike Salas,Sevilla,1.8,10.0,1604,23,ESP
50,Omar Mascarell,Mallorca,1.8,7.0,1573,29,EQG
51,Luis Milla,Getafe,1.8,6.0,2123,27,ESP
51,Santi Comesana,Villarreal,1.8,6.0,1656,27,ESP
53,Iddrisu Baba,Almería,1.8,5.0,1424,25,GHA
53,Iker Munoz,Osasuna,1.8,5.0,1856,28,ESP
55,Ander Herrera,Athletic Club,1.8,4.0,1023,23,ESP
55,César Azpilicueta,Atlético de Madrid,1.8,4.0,1421,25,ESP
57,Anastasios Douvikas,Celta de Vigo,1.8,2.0,886,32,GRE
57,Gorka Guruzeta,Athletic Club,1.8,2.0,2240,32,ESP
57,Luca de la Torre,Celta de Vigo,1.8,2.0,1956,31,USA
60,Benat Prados,Athletic Club,1.8,1.0,1450,26,ESP
61,Sergi Cardona,Las Palmas,1.7,10.0,2816,35,ESP
62,Alejandro Catena,Osasuna,1.7,8.0,2536,30,ESP
62,Jon Pacheco,Real Sociedad,1.7,8.0,1521,23,ESP
64,Djibril Sow,Sevilla,1.7,5.0,1469,24,SUI
64,Raul de Tomas,Rayo Vallecano,1.7,5.0,1277,25,ESP
66,Alex Berenguer,Athletic Club,1.7,4.0,1581,35,ESP
66,Javi Galán,Real Sociedad,1.7,4.0,1159,19,ESP
66,Ramon Terrats,Villarreal,1.7,4.0,780,19,ESP
66,Thierry Correia,Valencia CF,1.7,4.0,2157,31,POR
70,Gonzalo Melero,Almería,1.7,3.0,1093,28,ESP
71,William Carvalho,Real Betis,1.7,2.0,669,22,POR
72,Ander Barrenetxea,Real Sociedad,1.7,1.0,1436,29,ESP
72,André Silva,Real Sociedad,1.7,1.0,730,19,POR
74,Javier Hernández,Cádiz,1.6,10.0,2517,30,ESP
75,Alfonso Espino,Rayo Vallecano,1.6,9.0,2512,31,URU
76,Étienne Capoue,Villarreal,1.6,8.0,1444,32,FRA
77,Largie Ramazani,Almería,1.6,7.0,1560,29,BEL
78,Antonio Sánchez,Mallorca,1.6,3.0,1463,29,ESP
78,Kike Garcia,Alavés,1.6,3.0,1421,33,ESP
78,Renato Tapia,Celta de Vigo,1.6,3.0,1337,21,PER
81,Álvaro Morata,Atlético de Madrid,1.6,2.0,1909,32,ESP
81,Enzo Loiodice,Las Palmas,1.6,2.0,1792,34,FRA
81,Gonzalo Escalante,Cádiz,1.6,2.0,1702,25,ARG
81,Maximiliano Gomez,Cádiz,1.6,2.0,1157,31,URU
81,Mikel Vesga,Athletic Club,1.6,2.0,1535,27,ESP
86,Abderrahman Rebbach,Alavés,1.6,1.0,713,23,ALG
