Rank,Player,Team,Interceptions per 90,Total Interceptions,Minutes,Matches,Country
1,José Copete,Mallorca,2.2,32.0,1335,19,ESP
2,Largie Ramazani,Almería,2.0,34.0,1560,29,BEL
3,Lucas Robertone,Almería,1.9,51.0,2391,33,ARG
4,Mikel Vesga,Athletic Club,1.9,32.0,1535,27,ESP
5,Kiko,Villarreal,1.8,31.0,1579,23,ESP
5,Omar Mascarell,Mallorca,1.8,31.0,1573,29,EQG
7,Unai Nunez,Celta de Vigo,1.7,52.0,2802,34,ESP
8,Lucas Torro,Osasuna,1.7,33.0,1788,28,ESP
9,Selim Amallah,Valencia CF,1.7,11.0,597,20,MAR
10,Pathé Ciss,Rayo Vallecano,1.6,30.0,1658,31,SEN
11,Miguel Rubio,Granada CF,1.6,28.0,1559,19,ESP
11,Pablo Barrios,Atlético de Madrid,1.6,28.0,1556,24,ESP
13,Sergi Cardona,Las Palmas,1.5,46.0,2816,35,ESP
14,Diego Rico,Getafe,1.5,41.0,2536,32,ESP
14,Sergio Ramos,Sevilla,1.5,41.0,2518,28,ESP
16,Samu,Mallorca,1.5,39.0,2305,34,POR
17,Loic Badé,Sevilla,1.5,38.0,2283,28,FRA
18,Antonio Raillo,Mallorca,1.5,37.0,2198,26,ESP
19,Stefan Savic,Atlético de Madrid,1.5,27.0,1631,23,MNE
20,Kike Salas,Sevilla,1.5,26.0,1604,23,ESP
21,Carlos Benavidez,Alavés,1.5,19.0,1121,29,URU
22,Ignasi Miquel,Granada CF,1.4,45.0,2991,34,ESP
23,Alfonso Espino,Rayo Vallecano,1.4,40.0,2512,31,URU
24,Edgar González,Almería,1.4,38.0,2528,31,ESP
25,Carl Starfelt,Celta de Vigo,1.4,34.0,2218,27,SWE
26,Thierry Correia,Valencia CF,1.4,33.0,2157,31,POR
27,Luis Milla,Getafe,1.4,32.0,2123,27,ESP
28,Eduardo Camavinga,Real Madrid,1.4,29.0,1824,31,FRA
28,Guido Rodriguez,Real Betis,1.4,29.0,1849,24,ARG
30,Gabriel Paulista,Atlético de Madrid,1.4,28.0,1806,23,BRA
31,Nemanja Gudelj,Sevilla,1.4,27.0,1744,22,SRB
32,Gonzalo Escalante,Cádiz,1.4,26.0,1702,25,ARG
