Rank,Player,Team,Blocks per 90,Total Blocks,Minutes,Matches,Country
1,Antonio Raillo,Mallorca,1.2,30.0,2198,26,ESP
2,Sergio Ramos,Sevilla,1.1,30.0,2518,28,ESP
3,Carl Starfelt,Celta de Vigo,1.1,28.0,2218,27,SWE
4,Raul Albiol,Villarreal,1.1,24.0,2035,26,ESP
5,Edgar González,Almería,1.0,28.0,2528,31,ESP
6,Abdelkabir Abqar,Alavés,1.0,26.0,2314,27,MAR
7,Victor Chust,Cádiz,1.0,21.0,1870,22,ESP
8,Abdul Mumin,Rayo Vallecano,1.0,19.0,1695,20,GHA
9,Miguel Rubio,Granada CF,1.0,18.0,1559,19,ESP
10,Julian Araujo,Las Palmas,1.0,16.0,1462,25,MEX
11,Juan Brandariz,Almería,0.9,23.0,2432,31,ESP
12,David Lopez,Girona,0.9,19.0,1975,25,ESP
13,Pau Cubarsi,Barcelona,0.9,16.0,1562,19,ESP
14,Daniel Vivian,Athletic Club,0.8,25.0,2879,33,ESP
15,Fali,Cádiz,0.8,24.0,2550,30,ESP
15,Unai Nunez,Celta de Vigo,0.8,24.0,2802,34,ESP
17,Rafa Marin,Alavés,0.8,21.0,2442,33,ESP
18,Matija Nastasic,Mallorca,0.8,20.0,2257,26,SRB
19,Stefan Savic,Atlético de Madrid,0.8,15.0,1631,23,MNE
20,Kike Salas,Sevilla,0.8,14.0,1604,23,ESP
21,José Giménez,Atlético de Madrid,0.8,12.0,1323,22,URU
22,Cristhian Mosquera,Valencia CF,0.7,23.0,3074,36,ESP
23,Axel Witsel,Atlético de Madrid,0.7,21.0,2784,35,BEL
24,Antonio Rüdiger,Real Madrid,0.7,20.0,2707,33,GER
25,David Garcia,Osasuna,0.7,19.0,2336,27,ESP
25,Igor Zubeldia,Real Sociedad,0.7,19.0,2523,30,ESP
27,Omar Alderete,Getafe,0.7,18.0,2194,31,PAR
28,Thierry Correia,Valencia CF,0.7,16.0,2157,31,POR
29,Jorge Cuenca,Villarreal,0.7,15.0,1961,29,ESP
30,Aridane Hernández,Rayo Vallecano,0.7,14.0,1691,19,EQG
31,Nacho Fernandez,Real Madrid,0.7,13.0,1739,29,ESP
32,Carlos Dominguez,Celta de Vigo,0.7,12.0,1585,22,ESP
33,Inigo Martinez,Barcelona,0.7,10.0,1293,20,ESP
34,Nemanja Maksimovic,Getafe,0.6,23.0,3272,37,SRB
35,Daley Blind,Girona,0.6,19.0,2971,34,NED
35,Eric Garcia,Girona,0.6,19.0,2697,32,ESP
