Rank,Player,Team,Penalties Conceded,Total Matches,Minutes,Matches,Country
1,Mika Mármol,Las Palmas,3.0,36.0,3181,36,ESP
2,Iván Villar,Celta de Vigo,2.0,12.0,1015,12,ESP
3,André Ferreira,Granada CF,2.0,15.0,1339,15,POR
4,José Copete,Mallorca,2.0,19.0,1335,19,ESP
4,Sergio Akieme,Almería,2.0,19.0,1676,19,EQG
6,Juanlu Sánchez,Sevilla,2.0,26.0,1174,26,ESP
7,Abdelkabir Abqar,Alavés,2.0,27.0,2314,27,MAR
8,Rui Silva,Real Betis,2.0,28.0,2475,28,POR
9,Carlos Benavidez,Alavés,2.0,29.0,1121,29,URU
10,Fran Beltrán,Celta de Vigo,2.0,33.0,2438,33,ESP
11,Miguel Gutiérrez,Girona,2.0,35.0,3037,35,ESP
12,Kirian Rodriguez,Las Palmas,2.0,37.0,3217,37,ESP
13,Mamadou Mbaye,Cádiz,1.0,4.0,286,4,SEN
14,Caglar Söyüncü,Atlético de Madrid,1.0,6.0,110,6,TUR
15,Kaiky,Almería,1.0,8.0,520,8,BRA
16,Álvaro Odriozola,Real Sociedad,1.0,9.0,397,9,ESP
17,Carlos Fernández,Real Sociedad,1.0,10.0,406,10,ESP
17,Daley Sinkgraven,Las Palmas,1.0,10.0,375,10,NED
19,Adrià Altimira,Villarreal,1.0,11.0,779,11,ESP
19,Aleksandar Sedlar,Alavés,1.0,11.0,948,11,SRB
19,Arnau Puigmal,Almería,1.0,11.0,248,11,ESP
19,Borja Iglesias,Real Betis,1.0,11.0,404,11,ESP
19,Stefan Mitrovic,Getafe,1.0,11.0,700,11,SRB
24,Kevin Vázquez,Celta de Vigo,1.0,12.0,706,12,ESP
25,Jordi Martin,Getafe,1.0,13.0,574,13,ESP
26,Álex Centelles,Almería,1.0,14.0,979,14,ESP
27,Aissa Mandi,Villarreal,1.0,16.0,1113,16,ALG
27,Damian Suarez,Getafe,1.0,16.0,1306,16,URU
29,Raul Torrente,Granada CF,1.0,17.0,1252,17,ESP
30,Aitor Ruibal,Real Betis,1.0,18.0,1015,18,ESP
31,Aridane Hernández,Rayo Vallecano,1.0,19.0,1691,19,EQG
31,Javi Galán,Real Sociedad,1.0,19.0,1159,19,ESP
31,Pau Cubarsi,Barcelona,1.0,19.0,1562,19,ESP
31,Ramon Terrats,Villarreal,1.0,19.0,780,19,ESP
35,Raul Garcia,Athletic Club,1.0,20.0,404,20,ESP
36,Abner,Real Betis,1.0,23.0,1397,23,BRA
36,Cenk Özkacar,Valencia CF,1.0,23.0,1595,23,TUR
36,Dodi Lukebakio,Sevilla,1.0,23.0,1124,23,BEL
36,Kiko,Villarreal,1.0,23.0,1579,23,ESP
40,Guido Rodriguez,Real Betis,1.0,24.0,1849,24,ARG
41,David Lopez,Girona,1.0,25.0,1975,25,ESP
41,Iddrisu Baba,Almería,1.0,25.0,1424,25,GHA
41,Juan Miranda,Real Betis,1.0,25.0,1860,25,ESP
41,Ronald Araujo,Barcelona,1.0,25.0,1994,25,URU
45,Benat Prados,Athletic Club,1.0,26.0,1450,26,ESP
45,Chadi Riad,Real Betis,1.0,26.0,2164,26,MAR
45,Hugo Guillamon,Valencia CF,1.0,26.0,1305,26,ESP
45,Oscar Melendo,Granada CF,1.0,26.0,1126,26,ESP
49,Carl Starfelt,Celta de Vigo,1.0,27.0,2218,27,SWE
49,David Garcia,Osasuna,1.0,27.0,2336,27,ESP
49,Vicente Guaita,Celta de Vigo,1.0,27.0,2402,27,ESP
49,Yuri Berchiche,Athletic Club,1.0,27.0,1931,27,ESP
53,Sergio Ramos,Sevilla,1.0,28.0,2518,28,ESP
54,Jesus Navas,Sevilla,1.0,29.0,2010,29,ESP
54,Robin Le Normand,Real Sociedad,1.0,29.0,2473,29,ESP
56,Alejandro Catena,Osasuna,1.0,30.0,2536,30,ESP
56,Igor Zubeldia,Real Sociedad,1.0,30.0,2523,30,ESP
56,Iván Alejo,Cádiz,1.0,30.0,1702,30,ESP
56,Viktor Tsigankov,Girona,1.0,30.0,2067,30,UKR
60,Alex Sola,Alavés,1.0,31.0,1285,31,ESP
60,Alfonso Espino,Rayo Vallecano,1.0,31.0,2512,31,URU
60,Edgar González,Almería,1.0,31.0,2528,31,ESP
60,Eduardo Camavinga,Real Madrid,1.0,31.0,1824,31,FRA
