Rank,Player,Team,FotMob Rating,Player of the Match Awards,Minutes,Matches,Country
1,Jude Bellingham,Real Madrid,8.12,8.0,2323,28,ENG
2,Ilkay Gündogan,Barcelona,7.71,5.0,2997,36,GER
3,Isco,Real Betis,7.66,4.0,2338,29,ESP
4,Toni Kroos,Real Madrid,7.56,4.0,2130,33,GER
5,Savio,Girona,7.55,3.0,2989,37,BRA
6,Frenkie de Jong,Barcelona,7.54,2.0,1637,20,NED
7,Antoine Griezmann,Atlético de Madrid,7.54,10.0,2654,33,FRA
8,Vinicius Junior,Real Madrid,7.53,2.0,1872,26,BRA
9,Federico Valverde,Real Madrid,7.5,3.0,2910,37,URU
10,Robert Lewandowski,Barcelona,7.48,5.0,2758,35,POL
11,Aleix Garcia,Girona,7.47,7.0,3201,37,ESP
12,Pepelu,Valencia CF,7.46,6.0,3305,37,ESP
13,Takefusa Kubo,Real Sociedad,7.39,4.0,2155,30,JPN
14,Brahim Diaz,Real Madrid,7.38,2.0,1551,31,MAR
15,Rodrygo,Real Madrid,7.37,3.0,2388,34,BRA
16,Pedri,Barcelona,7.36,1.0,1482,24,ESP
17,Lucas Vázquez,Real Madrid,7.36,2.0,1410,29,ESP
17,Gerard Moreno,Villarreal,7.36,2.0,2229,30,ESP
19,Inaki Williams,Athletic Club,7.35,4.0,2855,34,GHA
20,Daniel Carvajal,Real Madrid,7.35,1.0,2172,28,ESP
21,Lamine Yamal,Barcelona,7.34,3.0,2197,37,ESP
22,Raphinha,Barcelona,7.33,6.0,1370,28,BRA
23,Joao Cancelo,Barcelona,7.32,4.0,2506,32,POR
24,Mikel Merino,Real Sociedad,7.31,4.0,2485,32,ESP
25,Iago Aspas,Celta de Vigo,7.3,5.0,2715,35,ESP
26,Nico Williams,Athletic Club,7.3,1.0,2280,31,ESP
27,Álex Baena,Villarreal,7.29,4.0,2599,34,ESP
28,Aurélien Tchouaméni,Real Madrid,7.29,1.0,1987,27,FRA
29,Viktor Tsigankov,Girona,7.28,1.0,2067,30,UKR
30,Eduardo Camavinga,Real Madrid,7.27,0.0,1824,31,FRA
31,Alexander Sørloth,Villarreal,7.26,7.0,2491,34,NOR
32,Daley Blind,Girona,7.26,0.0,2971,34,NED
33,Artem Dovbyk,Girona,7.26,5.0,2605,36,UKR
