Rank,Player,Team,Accurate Long Balls per 90,Successful Long Balls (%),Minutes,Matches,Country
1,Toni Kroos,Real Madrid,9.8,85.9,2130,33,GER
2,Sergio Ramos,Sevilla,6.3,66.3,2518,28,ESP
3,Aleix Garcia,Girona,6.1,74.1,3201,37,ESP
4,Alejandro Catena,Osasuna,5.5,50.5,2536,30,ESP
5,Omar Alderete,Getafe,5.5,37.5,2194,31,PAR
6,Luka Modric,Real Madrid,5.3,79.2,1685,32,CRO
7,Florian Lejeune,Rayo Vallecano,5.1,44.4,3328,37,FRA
8,Mario Hermoso,Atlético de Madrid,4.8,59.4,2556,31,ESP
9,Inigo Martinez,Barcelona,4.7,57.1,1293,20,ESP
10,Rodrigo De Paul,Atlético de Madrid,4.3,68.3,2084,34,ARG
11,Koke,Atlético de Madrid,4.3,65.4,2502,35,ESP
12,Luis Milla,Getafe,4.3,63.1,2123,27,ESP
13,Victor Chust,Cádiz,4.3,41.9,1870,22,ESP
14,Pau Cubarsi,Barcelona,4.2,57.9,1562,19,ESP
15,Daniel Parejo,Villarreal,4.0,73.0,2586,33,ESP
16,Renato Tapia,Celta de Vigo,4.0,47.6,1337,21,PER
17,Unai Nunez,Celta de Vigo,4.0,43.2,2802,34,ESP
18,Fali,Cádiz,4.0,42.1,2550,30,ESP
19,Hugo Guillamon,Valencia CF,3.9,54.9,1305,26,ESP
20,David Garcia,Osasuna,3.9,52.9,2336,27,ESP
21,Gerard Gumbau,Granada CF,3.9,50.2,2684,35,ESP
22,Rafa Marin,Alavés,3.8,52.0,2442,33,ESP
23,Yeray Álvarez,Athletic Club,3.8,40.8,1155,19,ESP
24,José Giménez,Atlético de Madrid,3.7,57.4,1323,22,URU
25,Rubén Alcaraz,Cádiz,3.7,50.6,3138,36,ESP
26,Pepelu,Valencia CF,3.6,54.9,3305,37,ESP
27,Gabriel Paulista,Atlético de Madrid,3.6,49.0,1806,23,BRA
28,William Carvalho,Real Betis,3.5,61.9,669,22,POR
29,Eric Garcia,Girona,3.5,55.0,2697,32,ESP
30,Raul Albiol,Villarreal,3.5,47.1,2035,26,ESP
31,Jesus Navas,Sevilla,3.4,48.4,2010,29,ESP
32,Igor Zubeldia,Real Sociedad,3.4,46.1,2523,30,ESP
33,Unai Lopez,Rayo Vallecano,3.4,45.5,2123,35,ESP
34,Dion Lopy,Almería,3.3,74.7,1917,30,SEN
35,Robin Le Normand,Real Sociedad,3.3,56.8,2473,29,ESP
36,Guido Rodriguez,Real Betis,3.3,55.8,1849,24,ARG
37,Marcos Acuna,Sevilla,3.3,53.4,1296,21,ARG
38,Ronald Araujo,Barcelona,3.3,48.0,1994,25,URU
39,Daniel Vivian,Athletic Club,3.3,44.8,2879,33,ESP
40,Jon Pacheco,Real Sociedad,3.3,43.3,1521,23,ESP
41,Suso,Sevilla,3.2,74.6,1514,29,ESP
42,Aitor Paredes,Athletic Club,3.2,46.2,2706,34,ESP
43,Matija Nastasic,Mallorca,3.2,44.7,2257,26,SRB
44,Jules Koundé,Barcelona,3.1,57.1,2899,35,FRA
45,Carlos Dominguez,Celta de Vigo,3.1,39.7,1585,22,ESP
46,Abdelkabir Abqar,Alavés,3.1,36.9,2314,27,MAR
47,Marc Roca,Real Betis,3.0,55.0,1986,26,ESP
48,Omar Mascarell,Mallorca,3.0,51.0,1573,29,EQG
49,Daley Blind,Girona,3.0,49.5,2971,34,NED
50,Rubén Duarte,Alavés,3.0,36.3,1875,28,ESP
51,Ezequiel Ávila,Real Betis,2.9,67.3,1166,23,ARG
52,Oscar Rodriguez,Getafe,2.9,59.6,962,24,ESP
53,Hamari Traoré,Real Sociedad,2.9,54.7,2296,31,MLI
54,Abdul Mumin,Rayo Vallecano,2.9,37.4,1695,20,GHA
55,César Montes,Almería,2.9,32.4,1792,21,MEX
56,Pathé Ciss,Rayo Vallecano,2.8,59.8,1658,31,SEN
57,Inigo Ruiz de Galarreta,Athletic Club,2.8,58.9,2104,29,ESP
58,Lucas Robertone,Almería,2.8,54.7,2391,33,ARG
59,José Copete,Mallorca,2.8,39.8,1335,19,ESP
60,Isco,Real Betis,2.7,71.7,2338,29,ESP
61,Federico Valverde,Real Madrid,2.7,68.5,2910,37,URU
