Rank,Player,Team,Expected Goals on Target (xGOT),Actual Goals,Minutes,Matches,Country
1,Artem Dovbyk,Girona,23.0,24.0,2605,36,UKR
2,Alexander Sørloth,Villarreal,17.1,23.0,2491,34,NOR
3,Robert Lewandowski,Barcelona,16.4,19.0,2758,35,POL
4,Vinicius Junior,Real Madrid,15.7,15.0,1872,26,BRA
5,Ante Budimir,Osasuna,15.6,17.0,2449,33,CRO
6,Jørgen Strand Larsen,Celta de Vigo,14.7,13.0,2887,37,NOR
7,Borja Mayoral,Getafe,14.4,15.0,2162,27,ESP
8,Álvaro Morata,Atlético de Madrid,13.7,15.0,1909,32,ESP
9,Jude Bellingham,Real Madrid,13.6,19.0,2323,28,ENG
10,Antoine Griezmann,Atlético de Madrid,13.4,16.0,2654,33,FRA
11,Gorka Guruzeta,Athletic Club,13.2,14.0,2240,32,ESP
12,Inaki Williams,Athletic Club,12.2,12.0,2855,34,GHA
13,Iago Aspas,Celta de Vigo,11.8,9.0,2715,35,ESP
14,Myrto Uzuni,Granada CF,11.7,11.0,2459,34,ALB
15,Cristhian Stuani,Girona,10.8,9.0,782,31,URU
16,Youssef En-Nesyri,Sevilla,10.7,16.0,2573,33,MAR
17,Samuel Omorodion,Alavés,10.6,9.0,2003,35,ESP
18,Mikel Oyarzabal,Real Sociedad,10.5,9.0,2157,33,ESP
19,Joselu,Real Madrid,10.3,10.0,1676,34,ESP
20,Sergio Arribas,Almería,10.2,9.0,2055,34,ESP
21,Mason Greenwood,Getafe,9.8,8.0,2667,33,ENG
22,Hugo Duro,Valencia CF,9.6,13.0,2994,37,ESP
23,Rodrygo,Real Madrid,9.5,10.0,2388,34,BRA
24,Isco,Real Betis,9.4,8.0,2338,29,ESP
25,Kike Garcia,Alavés,9.2,3.0,1421,33,ESP
26,Joao Félix,Barcelona,9.0,7.0,1542,30,POR
27,Fermin Lopez,Barcelona,8.8,8.0,1444,31,ESP
28,Ángel Correa,Atlético de Madrid,8.6,9.0,1525,32,ARG
28,Savio,Girona,8.6,9.0,2989,37,BRA
30,Anastasios Douvikas,Celta de Vigo,8.6,7.0,886,32,GRE
31,Lucas Ocampos,Sevilla,8.6,4.0,2885,35,ARG
32,Pepelu,Valencia CF,8.3,7.0,3305,37,ESP
33,Cyle Larin,Mallorca,8.3,3.0,1823,35,CAN
34,Raphinha,Barcelona,8.2,6.0,1370,28,BRA
35,Christopher Ramos,Cádiz,8.1,5.0,2627,37,ESP
36,Isaac Romero,Sevilla,8.1,4.0,1050,14,ESP
37,Gerard Moreno,Villarreal,7.9,10.0,2229,30,ESP
38,Ayoze Pérez,Real Betis,7.7,9.0,2307,31,ESP
39,Álex Baena,Villarreal,7.6,2.0,2599,34,ESP
40,Alex Berenguer,Athletic Club,7.3,7.0,1581,35,ESP
41,Adrián Embarba,Almería,7.3,3.0,2485,36,ESP
42,Isi Palazon,Rayo Vallecano,7.2,4.0,2810,37,ESP
43,Viktor Tsigankov,Girona,6.9,8.0,2067,30,UKR
44,Brahim Diaz,Real Madrid,6.8,8.0,1551,31,MAR
45,José Luis Morales,Villarreal,6.7,7.0,1037,29,ESP
45,Vedat Muriqi,Mallorca,6.7,7.0,2329,29,KVX
47,Marcos Llorente,Atlético de Madrid,6.7,6.0,2570,37,ESP
48,Takefusa Kubo,Real Sociedad,6.5,7.0,2155,30,JPN
49,Álvaro Garcia,Rayo Vallecano,6.5,6.0,2493,32,ESP
50,Luis Rioja,Alavés,6.3,5.0,2511,37,ESP
51,Nico Williams,Athletic Club,6.1,5.0,2280,31,ESP
52,Ferran Torres,Barcelona,5.9,7.0,1204,29,ESP
53,Ilkay Gündogan,Barcelona,5.8,5.0,2997,36,GER
54,Luis Suárez,Almería,5.7,6.0,917,15,COL
55,Lamine Yamal,Barcelona,5.7,5.0,2197,37,ESP
56,Willian José,Real Betis,5.6,10.0,1978,33,BRA
57,Dodi Lukebakio,Sevilla,5.5,5.0,1124,23,BEL
58,Leo Baptistao,Almería,5.3,6.0,1843,32,BRA
59,Lucas Boye,Granada CF,5.2,6.0,2555,31,ARG
60,Yangel Herrera,Girona,5.2,5.0,2120,29,VEN
61,Memphis Depay,Atlético de Madrid,5.1,5.0,888,23,NED
62,Munir El Haddadi,Las Palmas,5.1,3.0,2470,38,MAR
63,Bryan Zaragoza,Granada CF,4.9,6.0,1640,21,ESP
63,Raul Garcia,Osasuna,4.9,6.0,1347,35,ESP
65,Samuel Dias Lino,Atlético de Madrid,4.9,4.0,2087,34,BRA
66,Jaime Mata,Getafe,4.8,5.0,1790,35,ESP
67,Diego Lopez,Valencia CF,4.8,3.0,2671,36,ESP
68,Sandro Ramirez,Las Palmas,4.8,1.0,1819,27,ESP
69,Mikel Merino,Real Sociedad,4.7,5.0,2485,32,ESP
70,Ander Barrenetxea,Real Sociedad,4.6,4.0,1436,29,ESP
70,Nemanja Maksimovic,Getafe,4.6,4.0,3272,37,SRB
72,Sergio Camello,Rayo Vallecano,4.6,3.0,1668,31,ESP
73,Jorge de Frutos,Rayo Vallecano,4.6,2.0,1542,36,ESP
74,Cristian Portu,Girona,4.4,7.0,1271,36,ESP
75,Jonathan Bamba,Celta de Vigo,4.4,3.0,1993,27,CIV
76,Iván Martin,Girona,4.3,5.0,2744,36,ESP
77,Juanmi Latasa,Getafe,4.2,2.0,1553,32,ESP
78,Largie Ramazani,Almería,4.1,3.0,1560,29,BEL
79,Federico Valverde,Real Madrid,4.1,2.0,2910,37,URU
