Rank,Player,Team,Expected Goals per 90,Goals per 90,Minutes,Matches,Country
1,Cristhian Stuani,Girona,1.12,1.04,782,31,URU
2,Artem Dovbyk,Girona,0.84,0.83,2605,36,UKR
3,Bebé,Rayo Vallecano,0.67,0.93,193,19,CPV
4,Álvaro Morata,Atlético de Madrid,0.65,0.71,1909,32,ESP
5,Joselu,Real Madrid,0.65,0.54,1676,34,ESP
6,Vinicius Junior,Real Madrid,0.63,0.72,1872,26,BRA
7,Radamel Falcao,Rayo Vallecano,0.63,0.23,391,22,COL
8,Robert Lewandowski,Barcelona,0.59,0.62,2758,35,POL
9,Memphis Depay,Atlético de Madrid,0.58,0.51,888,23,NED
10,Marc Cardona,Las Palmas,0.53,0.5,724,26,ESP
11,Ante Budimir,Osasuna,0.52,0.62,2449,33,CRO
12,Samuel Omorodion,Alavés,0.52,0.4,2003,35,ESP
13,Joao Félix,Barcelona,0.51,0.41,1542,30,POR
14,André Silva,Real Sociedad,0.5,0.37,730,19,POR
15,Borja Mayoral,Getafe,0.49,0.62,2162,27,ESP
16,Kike Garcia,Alavés,0.49,0.19,1421,33,ESP
17,José Luis Morales,Villarreal,0.48,0.61,1037,29,ESP
18,Raphinha,Barcelona,0.48,0.39,1370,28,BRA
19,Anastasios Douvikas,Celta de Vigo,0.47,0.71,886,32,GRE
20,Gorka Guruzeta,Athletic Club,0.47,0.56,2240,32,ESP
21,Ángel Correa,Atlético de Madrid,0.47,0.53,1525,32,ARG
22,Fermin Lopez,Barcelona,0.47,0.5,1444,31,ESP
23,Jørgen Strand Larsen,Celta de Vigo,0.47,0.41,2887,37,NOR
24,Myrto Uzuni,Granada CF,0.47,0.4,2459,34,ALB
25,Alexander Sørloth,Villarreal,0.46,0.83,2491,34,NOR
26,Dodi Lukebakio,Sevilla,0.45,0.4,1124,23,BEL
27,Iker Muniain,Athletic Club,0.45,0.31,585,20,ESP
28,Roman Yaremchuk,Valencia CF,0.45,0.29,926,25,UKR
29,Cyle Larin,Mallorca,0.45,0.15,1823,35,CAN
30,Rodrygo,Real Madrid,0.44,0.38,2388,34,BRA
31,Jude Bellingham,Real Madrid,0.43,0.74,2323,28,ENG
32,Antoine Griezmann,Atlético de Madrid,0.42,0.54,2654,33,FRA
33,Ferran Torres,Barcelona,0.41,0.52,1204,29,ESP
34,Vedat Muriqi,Mallorca,0.41,0.27,2329,29,KVX
35,Antonio Puertas,Granada CF,0.4,0.0,720,27,ESP
36,Gerard Moreno,Villarreal,0.39,0.4,2229,30,ESP
37,Mikel Oyarzabal,Real Sociedad,0.39,0.38,2157,33,ESP
38,Youssef En-Nesyri,Sevilla,0.38,0.56,2573,33,MAR
39,Sergio Arribas,Almería,0.38,0.39,2055,34,ESP
40,Iago Aspas,Celta de Vigo,0.38,0.3,2715,35,ESP
41,Anthony Lozano,Almería,0.36,0.31,866,19,HON
42,Hugo Duro,Valencia CF,0.35,0.39,2994,37,ESP
43,Sergi Guardiola,Cádiz,0.35,0.19,475,22,ESP
44,Christopher Ramos,Cádiz,0.35,0.17,2627,37,ESP
45,Brahim Diaz,Real Madrid,0.33,0.46,1551,31,MAR
46,Raul Garcia,Osasuna,0.33,0.4,1347,35,ESP
47,Isco,Real Betis,0.32,0.31,2338,29,ESP
48,Ianis Hagi,Alavés,0.32,0.0,798,22,ROU
49,Umar Sadiq,Real Sociedad,0.31,0.25,1074,26,NGA
50,Abdessamad Ezzalzouli,Real Betis,0.31,0.1,921,28,MAR
51,Alex Berenguer,Athletic Club,0.3,0.4,1581,35,ESP
52,Inaki Williams,Athletic Club,0.3,0.38,2855,34,GHA
53,Mason Greenwood,Getafe,0.3,0.27,2667,33,ENG
54,Ayoze Pérez,Real Betis,0.29,0.35,2307,31,ESP
55,Jaime Mata,Getafe,0.28,0.25,1790,35,ESP
56,Oihan Sancet,Athletic Club,0.28,0.18,1991,30,ESP
57,Álex Baena,Villarreal,0.28,0.07,2599,34,ESP
58,Viktor Tsigankov,Girona,0.27,0.35,2067,30,UKR
59,Largie Ramazani,Almería,0.27,0.17,1560,29,BEL
60,Willian José,Real Betis,0.26,0.46,1978,33,BRA
61,Leo Baptistao,Almería,0.26,0.29,1843,32,BRA
62,Cristian Portu,Girona,0.25,0.5,1271,36,ESP
63,Nico Williams,Athletic Club,0.24,0.2,2280,31,ESP
64,Samuel Dias Lino,Atlético de Madrid,0.24,0.17,2087,34,BRA
65,Sergio Camello,Rayo Vallecano,0.24,0.16,1668,31,ESP
66,Raul de Tomas,Rayo Vallecano,0.24,0.07,1277,25,ESP
67,Abdon Prats,Mallorca,0.23,0.43,1258,34,ESP
68,Juanmi Latasa,Getafe,0.23,0.12,1553,32,ESP
69,Ander Barrenetxea,Real Sociedad,0.22,0.25,1436,29,ESP
70,Álvaro Garcia,Rayo Vallecano,0.22,0.22,2493,32,ESP
71,Lucas Boye,Granada CF,0.22,0.21,2555,31,ARG
72,Luis Rioja,Alavés,0.22,0.18,2511,37,ESP
73,Ilkay Gündogan,Barcelona,0.22,0.15,2997,36,GER
74,Bryan Zaragoza,Granada CF,0.21,0.33,1640,21,ESP
75,Raul Garcia,Athletic Club,0.21,0.22,404,20,ESP
76,Yangel Herrera,Girona,0.21,0.21,2120,29,VEN
77,Lamine Yamal,Barcelona,0.21,0.2,2197,37,ESP
78,Ezequiel Ávila,Real Betis,0.21,0.15,1166,23,ARG
79,Jonathan Viera,Almería,0.21,0.12,1541,21,ESP
80,Kike Pérez,Rayo Vallecano,0.21,0.11,828,24,ESP
81,Sergi Canos,Valencia CF,0.21,0.07,1234,27,ESP
82,Pepelu,Valencia CF,0.2,0.19,3305,37,ESP
83,Pedri,Barcelona,0.19,0.24,1482,24,ESP
84,Isi Palazon,Rayo Vallecano,0.19,0.13,2810,37,ESP
84,Roger,Cádiz,0.19,0.13,1367,23,ESP
