Rank,Player,Team,Goals per 90,Total Goals,Minutes,Matches,Country
1,Cristhian Stuani,Girona,1.04,9.0,782,31,URU
2,Bebé,Rayo Vallecano,0.93,2.0,193,19,CPV
3,Artem Dovbyk,Girona,0.83,24.0,2605,36,UKR
4,Alexander Sørloth,Villarreal,0.83,23.0,2491,34,NOR
5,Jude Bellingham,Real Madrid,0.74,19.0,2323,28,ENG
6,Vinicius Junior,Real Madrid,0.72,15.0,1872,26,BRA
7,Álvaro Morata,Atlético de Madrid,0.71,15.0,1909,32,ESP
8,Anastasios Douvikas,Celta de Vigo,0.71,7.0,886,32,GRE
9,Robert Lewandowski,Barcelona,0.62,19.0,2758,35,POL
10,Ante Budimir,Osasuna,0.62,17.0,2449,33,CRO
11,Borja Mayoral,Getafe,0.62,15.0,2162,27,ESP
12,José Luis Morales,Villarreal,0.61,7.0,1037,29,ESP
13,Youssef En-Nesyri,Sevilla,0.56,16.0,2573,33,MAR
14,Gorka Guruzeta,Athletic Club,0.56,14.0,2240,32,ESP
15,Antoine Griezmann,Atlético de Madrid,0.54,16.0,2654,33,FRA
16,Joselu,Real Madrid,0.54,10.0,1676,34,ESP
17,Ángel Correa,Atlético de Madrid,0.53,9.0,1525,32,ARG
18,Ferran Torres,Barcelona,0.52,7.0,1204,29,ESP
19,Memphis Depay,Atlético de Madrid,0.51,5.0,888,23,NED
20,Fermin Lopez,Barcelona,0.5,8.0,1444,31,ESP
21,Cristian Portu,Girona,0.5,7.0,1271,36,ESP
22,Marc Cardona,Las Palmas,0.5,4.0,724,26,ESP
23,Willian José,Real Betis,0.46,10.0,1978,33,BRA
24,Brahim Diaz,Real Madrid,0.46,8.0,1551,31,MAR
25,Darwin Machis,Cádiz,0.46,4.0,782,21,VEN
26,Abdon Prats,Mallorca,0.43,6.0,1258,34,ESP
27,Jørgen Strand Larsen,Celta de Vigo,0.41,13.0,2887,37,NOR
28,Joao Félix,Barcelona,0.41,7.0,1542,30,POR
