Rank,Player,Team,Shots on Target per 90,Shot Accuracy (%),Minutes,Matches,Country
1,Bebé,Rayo Vallecano,2.3,31.3,193,19,CPV
2,Cristhian Stuani,Girona,2.0,50.0,782,31,URU
3,Vinicius Junior,Real Madrid,1.9,50.0,1872,26,BRA
4,Artem Dovbyk,Girona,1.6,54.1,2605,36,UKR
5,Álvaro Morata,Atlético de Madrid,1.6,50.7,1909,32,ESP
6,Fermin Lopez,Barcelona,1.6,49.0,1444,31,ESP
7,Joselu,Real Madrid,1.6,46.0,1676,34,ESP
8,Kike Garcia,Alavés,1.6,45.6,1421,33,ESP
9,Radamel Falcao,Rayo Vallecano,1.6,41.2,391,22,COL
10,Anastasios Douvikas,Celta de Vigo,1.5,57.7,886,32,GRE
11,Joao Félix,Barcelona,1.5,41.0,1542,30,POR
12,Memphis Depay,Atlético de Madrid,1.5,39.5,888,23,NED
13,Jude Bellingham,Real Madrid,1.4,55.6,2323,28,ENG
14,Marc Cardona,Las Palmas,1.4,50.0,724,26,ESP
15,Inaki Williams,Athletic Club,1.4,46.2,2855,34,GHA
16,Robert Lewandowski,Barcelona,1.4,45.7,2758,35,POL
17,Rodrygo,Real Madrid,1.4,41.4,2388,34,BRA
18,Dodi Lukebakio,Sevilla,1.4,40.5,1124,23,BEL
19,Raphinha,Barcelona,1.4,37.3,1370,28,BRA
20,Alexander Sørloth,Villarreal,1.3,46.2,2491,34,NOR
21,Ante Budimir,Osasuna,1.3,45.5,2449,33,CRO
22,Cyle Larin,Mallorca,1.3,37.7,1823,35,CAN
23,Gorka Guruzeta,Athletic Club,1.2,48.4,2240,32,ESP
24,Darwin Machis,Cádiz,1.2,47.6,782,21,VEN
25,Ángel Correa,Atlético de Madrid,1.2,46.5,1525,32,ARG
26,Antoine Griezmann,Atlético de Madrid,1.2,43.0,2654,33,FRA
27,Samuel Omorodion,Alavés,1.2,40.3,2003,35,ESP
28,Sergi Canos,Valencia CF,1.2,39.5,1234,27,ESP
29,Mason Greenwood,Getafe,1.2,34.3,2667,33,ENG
30,Borja Mayoral,Getafe,1.1,57.4,2162,27,ESP
31,Iker Muniain,Athletic Club,1.1,53.8,585,20,ESP
32,Willian José,Real Betis,1.1,50.0,1978,33,BRA
33,Isi Palazon,Rayo Vallecano,1.1,45.8,2810,37,ESP
34,Jørgen Strand Larsen,Celta de Vigo,1.1,42.7,2887,37,NOR
35,Ferran Torres,Barcelona,1.1,39.5,1204,29,ESP
36,Bryan Zaragoza,Granada CF,1.0,55.9,1640,21,ESP
37,José Luis Morales,Villarreal,1.0,46.2,1037,29,ESP
38,Brahim Diaz,Real Madrid,1.0,44.7,1551,31,MAR
39,Myrto Uzuni,Granada CF,1.0,44.4,2459,34,ALB
40,Abdon Prats,Mallorca,1.0,42.4,1258,34,ESP
41,Youssef En-Nesyri,Sevilla,1.0,41.1,2573,33,MAR
42,Isco,Real Betis,1.0,40.6,2338,29,ESP
43,Vedat Muriqi,Mallorca,1.0,38.5,2329,29,KVX
44,Ayoze Pérez,Real Betis,1.0,38.2,2307,31,ESP
45,Sergio Arribas,Almería,1.0,36.7,2055,34,ESP
46,Ianis Hagi,Alavés,1.0,33.3,798,22,ROU
47,Abdessamad Ezzalzouli,Real Betis,1.0,26.3,921,28,MAR
48,Roman Yaremchuk,Valencia CF,0.9,50.0,926,25,UKR
49,Takefusa Kubo,Real Sociedad,0.9,45.7,2155,30,JPN
50,Hugo Duro,Valencia CF,0.9,43.9,2994,37,ESP
51,Rodrigo Riquelme,Atlético de Madrid,0.9,43.2,1522,34,ESP
52,Adrián Embarba,Almería,0.9,39.1,2485,36,ESP
53,Samuel Dias Lino,Atlético de Madrid,0.9,38.9,2087,34,BRA
54,Leo Baptistao,Almería,0.9,37.5,1843,32,BRA
55,Sandro Ramirez,Las Palmas,0.9,36.5,1819,27,ESP
56,Lamine Yamal,Barcelona,0.9,36.2,2197,37,ESP
57,Sergi Guardiola,Cádiz,0.9,35.7,475,22,ESP
58,Álex Baena,Villarreal,0.9,35.6,2599,34,ESP
59,Christopher Ramos,Cádiz,0.9,35.5,2627,37,ESP
60,Iago Aspas,Celta de Vigo,0.9,35.4,2715,35,ESP
