Rank,Player,Team,Possessions Won in Final 3rd per 90,Possessions Won Midfield per 90,Minutes,Matches,Country
1,Selim Amallah,Valencia CF,1.7,2.6,597,20,MAR
2,Umar Sadiq,Real Sociedad,1.3,1.3,1074,26,NGA
3,Enzo Loiodice,Las Palmas,1.2,3.2,1792,34,FRA
4,Ander Barrenetxea,Real Sociedad,1.1,2.6,1436,29,ESP
5,Oihan Sancet,Athletic Club,1.1,2.5,1991,30,ESP
6,Jude Bellingham,Real Madrid,1.1,2.0,2323,28,ENG
7,Sergi Canos,Valencia CF,1.1,1.8,1234,27,ESP
8,Benat Prados,Athletic Club,1.0,4.0,1450,26,ESP
9,Pablo Ibánez,Osasuna,1.0,3.4,1141,33,ESP
10,Aimar Oroz,Osasuna,1.0,2.8,2350,33,ESP
11,Alex Sola,Alavés,1.0,2.4,1285,31,ESP
12,Lucas Ocampos,Sevilla,1.0,2.1,2885,35,ARG
13,Jesus Vázquez,Valencia CF,1.0,2.0,705,20,ESP
14,Kike Garcia,Alavés,1.0,1.8,1421,33,ESP
14,Sergio Camello,Rayo Vallecano,1.0,1.8,1668,31,ESP
16,Oscar Trejo,Rayo Vallecano,0.9,3.5,1381,31,ARG
17,Sergi Guardiola,Cádiz,0.9,3.0,475,22,ESP
18,Unai Gomez,Athletic Club,0.9,2.9,867,25,ESP
19,Bebé,Rayo Vallecano,0.9,2.8,193,19,CPV
20,Nico Williams,Athletic Club,0.9,2.4,2280,31,ESP
20,Pedri,Barcelona,0.9,2.4,1482,24,ESP
20,Raphinha,Barcelona,0.9,2.4,1370,28,BRA
20,Rodrigo Riquelme,Atlético de Madrid,0.9,2.4,1522,34,ESP
24,Lamine Yamal,Barcelona,0.9,1.9,2197,37,ESP
25,Daniel Ceballos,Real Madrid,0.9,1.8,586,20,ESP
25,Takefusa Kubo,Real Sociedad,0.9,1.8,2155,30,JPN
27,Jonathan Viera,Almería,0.9,1.7,1541,21,ESP
28,Inaki Williams,Athletic Club,0.9,1.6,2855,34,GHA
29,Roman Yaremchuk,Valencia CF,0.9,1.5,926,25,UKR
30,André Silva,Real Sociedad,0.9,1.4,730,19,POR
31,Luis Milla,Getafe,0.8,4.4,2123,27,ESP
32,Inigo Ruiz de Galarreta,Athletic Club,0.8,4.3,2104,29,ESP
33,Mikel Merino,Real Sociedad,0.8,4.1,2485,32,ESP
34,Unai Lopez,Rayo Vallecano,0.8,3.5,2123,35,ESP
35,Lucas Torro,Osasuna,0.8,3.4,1788,28,ESP
36,Étienne Capoue,Villarreal,0.8,3.2,1444,32,FRA
37,Daniel Rodriguez,Mallorca,0.8,2.8,2632,36,ESP
37,Kike Pérez,Rayo Vallecano,0.8,2.8,828,24,ESP
39,Ayoze Pérez,Real Betis,0.8,2.7,2307,31,ESP
39,Isco,Real Betis,0.8,2.7,2338,29,ESP
39,Robert Navarro,Cádiz,0.8,2.7,1905,28,ESP
42,Roger,Cádiz,0.8,2.2,1367,23,ESP
43,Ángel Correa,Atlético de Madrid,0.8,1.9,1525,32,ARG
43,Ilias Akhomach,Villarreal,0.8,1.9,1511,31,MAR
45,Ianis Hagi,Alavés,0.8,1.7,798,22,ROU
46,Gorka Guruzeta,Athletic Club,0.8,1.6,2240,32,ESP
46,Mikel Oyarzabal,Real Sociedad,0.8,1.6,2157,33,ESP
48,Diego Lopez,Valencia CF,0.8,1.5,2671,36,ESP
49,Borja Mayoral,Getafe,0.8,1.4,2162,27,ESP
50,Álvaro Morata,Atlético de Madrid,0.8,1.2,1909,32,ESP
51,Jaime Mata,Getafe,0.8,1.0,1790,35,ESP
51,Vinicius Junior,Real Madrid,0.8,1.0,1872,26,BRA
53,Ander Herrera,Athletic Club,0.7,4.0,1023,23,ESP
53,Mikel Vesga,Athletic Club,0.7,4.0,1535,27,ESP
55,Eduardo Camavinga,Real Madrid,0.7,3.5,1824,31,FRA
56,Antonio Sánchez,Mallorca,0.7,3.4,1463,29,ESP
57,Oliver Torres,Sevilla,0.7,3.3,1620,27,ESP
58,Darwin Machis,Cádiz,0.7,3.2,782,21,VEN
58,Rodrigo De Paul,Atlético de Madrid,0.7,3.2,2084,34,ARG
60,Radamel Falcao,Rayo Vallecano,0.7,2.8,391,22,COL
61,Carles Alena,Getafe,0.7,2.6,1007,29,ESP
61,Jon Moncayola,Osasuna,0.7,2.6,1801,33,ESP
63,Raul Garcia,Athletic Club,0.7,2.5,404,20,ESP
64,Fermin Lopez,Barcelona,0.7,2.4,1444,31,ESP
64,Lucas Boye,Granada CF,0.7,2.4,2555,31,ARG
64,Oscar Rodriguez,Getafe,0.7,2.4,962,24,ESP
64,Savio,Girona,0.7,2.4,2989,37,BRA
