Rank,Player,Team,Shots per 90,Shot Conversion Rate (%),Minutes,Matches,Country
1,Bebé,Rayo Vallecano,7.5,12.5,193,19,CPV
2,Cristhian Stuani,Girona,3.9,26.5,782,31,URU
3,Memphis Depay,Atlético de Madrid,3.9,13.2,888,23,NED
4,Raphinha,Barcelona,3.9,10.2,1370,28,BRA
5,Radamel Falcao,Rayo Vallecano,3.9,5.9,391,22,COL
6,Vinicius Junior,Real Madrid,3.8,19.2,1872,26,BRA
7,Abdessamad Ezzalzouli,Real Betis,3.7,2.6,921,28,MAR
8,Joao Félix,Barcelona,3.6,11.5,1542,30,POR
9,Kike Garcia,Alavés,3.6,5.3,1421,33,ESP
10,Joselu,Real Madrid,3.4,15.9,1676,34,ESP
11,Dodi Lukebakio,Sevilla,3.4,11.9,1124,23,BEL
12,Mason Greenwood,Getafe,3.4,7.8,2667,33,ENG
13,Cyle Larin,Mallorca,3.4,4.4,1823,35,CAN
14,Rodrygo,Real Madrid,3.3,11.5,2388,34,BRA
15,Álvaro Morata,Atlético de Madrid,3.2,22.4,1909,32,ESP
16,Fermin Lopez,Barcelona,3.2,15.7,1444,31,ESP
17,Oscar Rodriguez,Getafe,3.2,5.9,962,24,ESP
18,Robert Lewandowski,Barcelona,3.1,20.2,2758,35,POL
19,Sergi Canos,Valencia CF,3.1,2.3,1234,27,ESP
20,Samuel Omorodion,Alavés,3.0,13.4,2003,35,ESP
21,Ianis Hagi,Alavés,3.0,0.0,798,22,ROU
22,Artem Dovbyk,Girona,2.9,28.2,2605,36,UKR
23,Inaki Williams,Athletic Club,2.9,12.9,2855,34,GHA
24,Alexander Sørloth,Villarreal,2.8,29.5,2491,34,NOR
25,Ante Budimir,Osasuna,2.8,22.1,2449,33,CRO
26,Ferran Torres,Barcelona,2.8,18.4,1204,29,ESP
27,Anthony Lozano,Almería,2.8,11.1,866,19,HON
28,Umar Sadiq,Real Sociedad,2.8,9.1,1074,26,NGA
29,José Arnáiz,Osasuna,2.8,6.9,922,26,ESP
30,Ezequiel Ávila,Real Betis,2.8,5.6,1166,23,ARG
31,Antoine Griezmann,Atlético de Madrid,2.7,20.3,2654,33,FRA
32,Marc Cardona,Las Palmas,2.7,18.2,724,26,ESP
33,Ayoze Pérez,Real Betis,2.7,13.2,2307,31,ESP
34,Sergi Guardiola,Cádiz,2.7,7.1,475,22,ESP
35,Raul de Tomas,Rayo Vallecano,2.7,2.6,1277,25,ESP
36,Anastasios Douvikas,Celta de Vigo,2.6,26.9,886,32,GRE
