Rank,Player,Team,Yellow Cards,Red Cards,Minutes,Matches,Country
1,Iván Alejo,Cádiz,17.0,0.0,1702,30,ESP
2,Robin Le Normand,Real Sociedad,13.0,0.0,2473,29,ESP
2,Rubén Alcaraz,Cádiz,13.0,0.0,3138,36,ESP
4,Djené,Getafe,12.0,1.0,2490,33,TOG
5,Fali,Cádiz,12.0,0.0,2550,30,ESP
5,Gerard Gumbau,Granada CF,12.0,0.0,2684,35,ESP
7,Álex Baena,Villarreal,11.0,1.0,2599,34,ESP
7,Igor Zubeldia,Real Sociedad,11.0,1.0,2523,30,ESP
9,Lucas Robertone,Almería,11.0,0.0,2391,33,ARG
10,Abdelkabir Abqar,Alavés,10.0,0.0,2314,27,MAR
10,Boubakary Soumaré,Sevilla,10.0,0.0,2286,28,FRA
10,Diego Rico,Getafe,10.0,0.0,2536,32,ESP
10,Isco,Real Betis,10.0,0.0,2338,29,ESP
10,Javier Hernández,Cádiz,10.0,0.0,2517,30,ESP
10,Kike Salas,Sevilla,10.0,0.0,1604,23,ESP
10,Mikel Merino,Real Sociedad,10.0,0.0,2485,32,ESP
10,Pathé Ciss,Rayo Vallecano,10.0,0.0,1658,31,SEN
10,Sergi Cardona,Las Palmas,10.0,0.0,2816,35,ESP
19,Alfonso Espino,Rayo Vallecano,9.0,0.0,2512,31,URU
19,Daniel Rodriguez,Mallorca,9.0,0.0,2632,36,ESP
19,Eduardo Camavinga,Real Madrid,9.0,0.0,1824,31,FRA
19,José Ángel Carmona,Getafe,9.0,0.0,1312,30,ESP
19,Lucas Ocampos,Sevilla,9.0,0.0,2885,35,ARG
19,Mario Hermoso,Atlético de Madrid,9.0,0.0,2556,31,ESP
19,Oscar Rodriguez,Getafe,9.0,0.0,962,24,ESP
19,Sergio Ruiz,Granada CF,9.0,0.0,2501,35,ESP
19,Unai Lopez,Rayo Vallecano,9.0,0.0,2123,35,ESP
19,Yangel Herrera,Girona,9.0,0.0,2120,29,VEN
29,Alejandro Catena,Osasuna,8.0,1.0,2536,30,ESP
29,Jaime Mata,Getafe,8.0,1.0,1790,35,ESP
29,Lucas Boye,Granada CF,8.0,1.0,2555,31,ARG
29,Omar Alderete,Getafe,8.0,1.0,2194,31,PAR
29,Ruben Sobrino,Cádiz,8.0,1.0,1648,32,ESP
29,Saul Niguez,Atlético de Madrid,8.0,1.0,1363,34,ESP
35,Cyle Larin,Mallorca,8.0,0.0,1823,35,CAN
35,Étienne Capoue,Villarreal,8.0,0.0,1444,32,FRA
35,Isi Palazon,Rayo Vallecano,8.0,0.0,2810,37,ESP
35,Jon Pacheco,Real Sociedad,8.0,0.0,1521,23,ESP
35,Juan Miranda,Real Betis,8.0,0.0,1860,25,ESP
35,Matija Nastasic,Mallorca,8.0,0.0,2257,26,SRB
35,Ricard Sánchez,Granada CF,8.0,0.0,2298,33,ESP
35,Samu,Mallorca,8.0,0.0,2305,34,POR
35,Yan Couto,Girona,8.0,0.0,2245,34,BRA
44,Largie Ramazani,Almería,7.0,2.0,1560,29,BEL
45,Aitor Paredes,Athletic Club,7.0,1.0,2706,34,ESP
45,Damian Suarez,Getafe,7.0,1.0,1306,16,URU
45,Sergio Ramos,Sevilla,7.0,1.0,2518,28,ESP
48,Alex Suárez,Las Palmas,7.0,0.0,2566,32,ESP
48,Ander Guevara,Alavés,7.0,0.0,2936,37,ESP
48,Antonio Rüdiger,Real Madrid,7.0,0.0,2707,33,GER
48,Aurélien Tchouaméni,Real Madrid,7.0,0.0,1987,27,FRA
48,Brais Méndez,Real Sociedad,7.0,0.0,2420,32,ESP
48,Frenkie de Jong,Barcelona,7.0,0.0,1637,20,NED
48,Gaston Álvarez,Getafe,7.0,0.0,2535,34,URU
48,Germán Pezzella,Real Betis,7.0,0.0,2770,32,ARG
48,Giovanni González,Mallorca,7.0,0.0,2463,34,URU
48,Gonzalo Villar,Granada CF,7.0,0.0,1785,35,ESP
48,Hamari Traoré,Real Sociedad,7.0,0.0,2296,31,MLI
48,Inigo Ruiz de Galarreta,Athletic Club,7.0,0.0,2104,29,ESP
48,Jaume Costa,Mallorca,7.0,0.0,1681,30,ESP
48,Joao Cancelo,Barcelona,7.0,0.0,2506,32,POR
48,Jorge Cuenca,Villarreal,7.0,0.0,1961,29,ESP
48,José Copete,Mallorca,7.0,0.0,1335,19,ESP
48,Kike Pérez,Rayo Vallecano,7.0,0.0,828,24,ESP
48,Kirian Rodriguez,Las Palmas,7.0,0.0,3217,37,ESP
48,Marcos Acuna,Sevilla,7.0,0.0,1296,21,ARG
48,Nemanja Gudelj,Sevilla,7.0,0.0,1744,22,SRB
48,Omar Mascarell,Mallorca,7.0,0.0,1573,29,EQG
48,Rodrigo De Paul,Atlético de Madrid,7.0,0.0,2084,34,ARG
48,Rubén Duarte,Alavés,7.0,0.0,1875,28,ESP
48,Vinicius Junior,Real Madrid,7.0,0.0,1872,26,BRA
72,Santi Comesana,Villarreal,6.0,2.0,1656,27,ESP
73,Álvaro Garcia,Rayo Vallecano,6.0,1.0,2493,32,ESP
73,Iago Aspas,Celta de Vigo,6.0,1.0,2715,35,ESP
73,Jesus Navas,Sevilla,6.0,1.0,2010,29,ESP
73,Kiko,Villarreal,6.0,1.0,1579,23,ESP
73,Leo Baptistao,Almería,6.0,1.0,1843,32,BRA
73,Saul Coco,Las Palmas,6.0,1.0,2293,30,EQG
79,Andoni Gorosabel,Alavés,6.0,0.0,2863,36,ESP
79,Carles Alena,Getafe,6.0,0.0,1007,29,ESP
79,Cristhian Stuani,Girona,6.0,0.0,782,31,URU
79,Daley Blind,Girona,6.0,0.0,2971,34,NED
79,Daniel Vivian,Athletic Club,6.0,0.0,2879,33,ESP
79,Guido Rodriguez,Real Betis,6.0,0.0,1849,24,ARG
79,Hugo Guillamon,Valencia CF,6.0,0.0,1305,26,ESP
79,Ivan Rakitic,Sevilla,6.0,0.0,1425,18,CRO
79,Javier Munoz,Las Palmas,6.0,0.0,2646,37,ESP
79,Lucas Pires,Cádiz,6.0,0.0,1527,28,BRA
79,Luis Milla,Getafe,6.0,0.0,2123,27,ESP
79,Mason Greenwood,Getafe,6.0,0.0,2667,33,ENG
79,Maximo Perrone,Las Palmas,6.0,0.0,1626,29,ARG
79,Mouctar Diakhaby,Valencia CF,6.0,0.0,1071,14,GUI
79,Rafa Marin,Alavés,6.0,0.0,2442,33,ESP
79,Raul Albiol,Villarreal,6.0,0.0,2035,26,ESP
79,Ronald Araujo,Barcelona,6.0,0.0,1994,25,URU
79,Samuel Omorodion,Alavés,6.0,0.0,2003,35,ESP
79,Sokratis Papastathopoulos,Real Betis,6.0,0.0,1135,15,GRE
98,Ezequiel Ávila,Real Betis,5.0,3.0,1166,23,ARG
99,Abdul Mumin,Rayo Vallecano,5.0,1.0,1695,20,GHA
99,Antonio Blanco,Alavés,5.0,1.0,2436,33,ESP
99,Edgar González,Almería,5.0,1.0,2528,31,ESP
99,Gabriel Paulista,Atlético de Madrid,5.0,1.0,1806,23,BRA
99,Juanmi Latasa,Getafe,5.0,1.0,1553,32,ESP
99,Jude Bellingham,Real Madrid,5.0,1.0,2323,28,ENG
99,Loic Badé,Sevilla,5.0,1.0,2283,28,FRA
99,Oscar Valentin,Rayo Vallecano,5.0,1.0,2700,34,ESP
99,Stefan Savic,Atlético de Madrid,5.0,1.0,1631,23,MNE
99,Suso,Sevilla,5.0,1.0,1514,29,ESP
109,Adrián Embarba,Almería,5.0,0.0,2485,36,ESP
109,Aitor Ruibal,Real Betis,5.0,0.0,1015,18,ESP
109,Antoine Griezmann,Atlético de Madrid,5.0,0.0,2654,33,FRA
109,Arnau Martinez,Girona,5.0,0.0,1240,21,ESP
109,Axel Witsel,Atlético de Madrid,5.0,0.0,2784,35,BEL
109,Bryan Zaragoza,Granada CF,5.0,0.0,1640,21,ESP
109,Carlos Benavidez,Alavés,5.0,0.0,1121,29,URU
109,César Montes,Almería,5.0,0.0,1792,21,MEX
109,Christopher Ramos,Cádiz,5.0,0.0,2627,37,ESP
109,David Garcia,Osasuna,5.0,0.0,2336,27,ESP
109,Dion Lopy,Almería,5.0,0.0,1917,30,SEN
109,Djibril Sow,Sevilla,5.0,0.0,1469,24,SUI
109,Eric Garcia,Girona,5.0,0.0,2697,32,ESP
109,Ferland Mendy,Real Madrid,5.0,0.0,1725,23,FRA
109,Florian Lejeune,Rayo Vallecano,5.0,0.0,3328,37,FRA
109,Gavi,Barcelona,5.0,0.0,943,12,ESP
109,Iddrisu Baba,Almería,5.0,0.0,1424,25,GHA
109,Ignasi Miquel,Granada CF,5.0,0.0,2991,34,ESP
109,Iker Munoz,Osasuna,5.0,0.0,1856,28,ESP
109,Ilkay Gündogan,Barcelona,5.0,0.0,2997,36,GER
109,Inigo Martinez,Barcelona,5.0,0.0,1293,20,ESP
109,Iván Martin,Girona,5.0,0.0,2744,36,ESP
109,Jørgen Strand Larsen,Celta de Vigo,5.0,0.0,2887,37,NOR
109,José Giménez,Atlético de Madrid,5.0,0.0,1323,22,URU
109,Julian Araujo,Las Palmas,5.0,0.0,1462,25,MEX
109,Koke,Atlético de Madrid,5.0,0.0,2502,35,ESP
109,Lucas Torro,Osasuna,5.0,0.0,1788,28,ESP
109,Marc Roca,Real Betis,5.0,0.0,1986,26,ESP
109,Marcos Llorente,Atlético de Madrid,5.0,0.0,2570,37,ESP
109,Martin Valjent,Mallorca,5.0,0.0,2354,28,SVK
109,Martin Zubimendi,Real Sociedad,5.0,0.0,2655,31,ESP
109,Marvin Park,Las Palmas,5.0,0.0,1852,31,ESP
109,Miguel Rubio,Granada CF,5.0,0.0,1559,19,ESP
109,Nahuel Tenaglia,Alavés,5.0,0.0,1131,25,ARG
109,Oscar de Marcos,Athletic Club,5.0,0.0,2261,28,ESP
109,Pablo Barrios,Atlético de Madrid,5.0,0.0,1556,24,ESP
109,Pablo Ibánez,Osasuna,5.0,0.0,1141,33,ESP
109,Raul de Tomas,Rayo Vallecano,5.0,0.0,1277,25,ESP
109,Robert Lewandowski,Barcelona,5.0,0.0,2758,35,POL
109,Savio,Girona,5.0,0.0,2989,37,BRA
109,Vedat Muriqi,Mallorca,5.0,0.0,2329,29,KVX
109,Yuri Berchiche,Athletic Club,5.0,0.0,1931,27,ESP
151,Nacho Fernandez,Real Madrid,4.0,2.0,1739,29,ESP
152,Aleix Garcia,Girona,4.0,1.0,3201,37,ESP
