Rank,Player,Team,Tackles per 90,Tackle Success Rate (%),Minutes,Matches,Country
1,Ander Herrera,Athletic Club,2.8,72.7,1023,23,ESP
2,Carlos Benavidez,Alavés,2.8,62.5,1121,29,URU
3,Juanlu Sánchez,Sevilla,2.7,62.5,1174,26,ESP
4,Saul Niguez,Atlético de Madrid,2.6,60.9,1363,34,ESP
5,Eduardo Camavinga,Real Madrid,2.3,61.8,1824,31,FRA
6,Oscar Valentin,Rayo Vallecano,2.2,61.7,2700,34,ESP
7,Renato Tapia,Celta de Vigo,2.0,70.7,1337,21,PER
8,Javi Galán,Real Sociedad,2.0,60.5,1159,19,ESP
9,Samu,Mallorca,2.0,54.9,2305,34,POR
10,Oriol Romeu,Barcelona,1.9,58.8,930,28,ESP
11,Selim Amallah,Valencia CF,1.8,70.6,597,20,MAR
12,Sergi Cardona,Las Palmas,1.8,61.1,2816,35,ESP
13,José Copete,Mallorca,1.8,60.0,1335,19,ESP
14,Enzo Loiodice,Las Palmas,1.8,56.5,1792,34,FRA
15,José Gayà,Valencia CF,1.8,50.7,1797,24,ESP
16,Valery Fernández,Girona,1.7,81.8,486,27,ESP
17,Diego Rico,Getafe,1.7,75.0,2536,32,ESP
18,Kieran Tierney,Real Sociedad,1.7,64.9,1243,20,SCO
19,Gonzalo Villar,Granada CF,1.7,64.7,1785,35,ESP
20,Benat Prados,Athletic Club,1.7,62.2,1450,26,ESP
21,Rubén Alcaraz,Cádiz,1.7,60.8,3138,36,ESP
22,Dion Lopy,Almería,1.7,59.7,1917,30,SEN
23,Aihen Munoz,Real Sociedad,1.7,58.3,1120,21,ESP
24,Sergio Ruiz,Granada CF,1.7,55.4,2501,35,ESP
25,Oscar de Marcos,Athletic Club,1.6,69.6,2261,28,ESP
26,Marc Roca,Real Betis,1.6,69.2,1986,26,ESP
27,Joao Cancelo,Barcelona,1.6,68.8,2506,32,POR
28,Lucas Vázquez,Real Madrid,1.6,67.6,1410,29,ESP
