Rank,Player,Team,Assists,Secondary Assists,Minutes,Matches,Country
1,Álex Baena,Villarreal,14.0,9.5,2599,34,ESP
2,Nico Williams,Athletic Club,11.0,7.5,2280,31,ESP
3,Savio,Girona,10.0,9.9,2989,37,BRA
4,Iago Aspas,Celta de Vigo,10.0,9.3,2715,35,ESP
5,Ilkay Gündogan,Barcelona,9.0,9.8,2997,36,GER
6,Raphinha,Barcelona,9.0,5.0,1370,28,BRA
7,Toni Kroos,Real Madrid,8.0,5.9,2130,33,GER
8,Yan Couto,Girona,8.0,4.3,2245,34,BRA
9,Artem Dovbyk,Girona,8.0,3.7,2605,36,UKR
10,Robert Lewandowski,Barcelona,8.0,3.6,2758,35,POL
11,Miguel Gutiérrez,Girona,7.0,6.8,3037,35,ESP
12,Viktor Tsigankov,Girona,7.0,6.5,2067,30,UKR
13,Diego Rico,Getafe,7.0,3.4,2536,32,ESP
13,Federico Valverde,Real Madrid,7.0,3.4,2910,37,URU
15,Aleix Garcia,Girona,6.0,6.0,3201,37,ESP
16,Antoine Griezmann,Atlético de Madrid,6.0,5.8,2654,33,FRA
17,Luka Modric,Real Madrid,6.0,4.8,1685,32,CRO
18,Brahim Diaz,Real Madrid,6.0,4.7,1551,31,MAR
19,Gerard Moreno,Villarreal,6.0,4.6,2229,30,ESP
20,Brais Méndez,Real Sociedad,6.0,4.4,2420,32,ESP
21,Jude Bellingham,Real Madrid,6.0,4.3,2323,28,ENG
21,Mason Greenwood,Getafe,6.0,4.3,2667,33,ENG
23,Lucas Vázquez,Real Madrid,6.0,3.6,1410,29,ESP
24,Alexander Sørloth,Villarreal,6.0,3.0,2491,34,NOR
25,Jesus Areso,Osasuna,6.0,2.9,2661,37,ESP
26,Diego Lopez,Valencia CF,6.0,2.4,2671,36,ESP
27,Lamine Yamal,Barcelona,5.0,6.5,2197,37,ESP
28,Isco,Real Betis,5.0,6.4,2338,29,ESP
29,Rodrigo De Paul,Atlético de Madrid,5.0,6.2,2084,34,ARG
30,Sergi Darder,Mallorca,5.0,5.0,2154,36,ESP
31,Vinicius Junior,Real Madrid,5.0,4.4,1872,26,BRA
32,Rodrygo,Real Madrid,5.0,4.2,2388,34,BRA
33,Daniel Parejo,Villarreal,5.0,4.0,2586,33,ESP
34,Rodrigo Riquelme,Atlético de Madrid,5.0,3.7,1522,34,ESP
35,Samuel Dias Lino,Atlético de Madrid,5.0,3.5,2087,34,BRA
36,Oscar de Marcos,Athletic Club,5.0,3.4,2261,28,ESP
