Rank,Player,Team,Goals,Penalties,Minutes,Matches,Country
1,Artem Dovbyk,Girona,24.0,7.0,2605,36,UKR
2,Alexander Sørloth,Villarreal,23.0,0.0,2491,34,NOR
3,Jude Bellingham,Real Madrid,19.0,1.0,2323,28,ENG
4,Robert Lewandowski,Barcelona,19.0,4.0,2758,35,POL
5,Ante Budimir,Osasuna,17.0,3.0,2449,33,CRO
6,Youssef En-Nesyri,Sevilla,16.0,1.0,2573,33,MAR
7,Antoine Griezmann,Atlético de Madrid,16.0,4.0,2654,33,FRA
8,Álvaro Morata,Atlético de Madrid,15.0,0.0,1909,32,ESP
9,Vinicius Junior,Real Madrid,15.0,1.0,1872,26,BRA
10,Borja Mayoral,Getafe,15.0,4.0,2162,27,ESP
11,Gorka Guruzeta,Athletic Club,14.0,0.0,2240,32,ESP
12,Hugo Duro,Valencia CF,13.0,0.0,2994,37,ESP
12,Jørgen Strand Larsen,Celta de Vigo,13.0,0.0,2887,37,NOR
14,Inaki Williams,Athletic Club,12.0,0.0,2855,34,GHA
15,Myrto Uzuni,Granada CF,11.0,4.0,2459,34,ALB
16,Joselu,Real Madrid,10.0,0.0,1676,34,ESP
16,Rodrygo,Real Madrid,10.0,0.0,2388,34,BRA
16,Willian José,Real Betis,10.0,0.0,1978,33,BRA
19,Gerard Moreno,Villarreal,10.0,2.0,2229,30,ESP
20,Ayoze Pérez,Real Betis,9.0,0.0,2307,31,ESP
20,Cristhian Stuani,Girona,9.0,0.0,782,31,URU
20,Samuel Omorodion,Alavés,9.0,0.0,2003,35,ESP
20,Savio,Girona,9.0,0.0,2989,37,BRA
20,Sergio Arribas,Almería,9.0,0.0,2055,34,ESP
25,Ángel Correa,Atlético de Madrid,9.0,1.0,1525,32,ARG
26,Mikel Oyarzabal,Real Sociedad,9.0,2.0,2157,33,ESP
27,Iago Aspas,Celta de Vigo,9.0,3.0,2715,35,ESP
28,Brahim Diaz,Real Madrid,8.0,0.0,1551,31,MAR
28,Fermin Lopez,Barcelona,8.0,0.0,1444,31,ESP
28,Viktor Tsigankov,Girona,8.0,0.0,2067,30,UKR
31,Isco,Real Betis,8.0,2.0,2338,29,ESP
31,Mason Greenwood,Getafe,8.0,2.0,2667,33,ENG
33,Anastasios Douvikas,Celta de Vigo,7.0,0.0,886,32,GRE
33,Cristian Portu,Girona,7.0,0.0,1271,36,ESP
33,Ferran Torres,Barcelona,7.0,0.0,1204,29,ESP
33,Joao Félix,Barcelona,7.0,0.0,1542,30,POR
33,José Luis Morales,Villarreal,7.0,0.0,1037,29,ESP
33,Takefusa Kubo,Real Sociedad,7.0,0.0,2155,30,JPN
39,Alex Berenguer,Athletic Club,7.0,1.0,1581,35,ESP
39,Vedat Muriqi,Mallorca,7.0,1.0,2329,29,KVX
41,Pepelu,Valencia CF,7.0,7.0,3305,37,ESP
42,Abdon Prats,Mallorca,6.0,0.0,1258,34,ESP
42,Álvaro Garcia,Rayo Vallecano,6.0,0.0,2493,32,ESP
42,Arda Güler,Real Madrid,6.0,0.0,373,10,TUR
42,Kirian Rodriguez,Las Palmas,6.0,0.0,3217,37,ESP
42,Leo Baptistao,Almería,6.0,0.0,1843,32,BRA
42,Lucas Boye,Granada CF,6.0,0.0,2555,31,ARG
