Rank,Player,Team,Chances Created,Chances Created per 90,Minutes,Matches,Country
1,Ilkay Gündogan,Barcelona,97.0,2.9,2997,36,GER
2,Iago Aspas,Celta de Vigo,90.0,3.0,2715,35,ESP
3,Álex Baena,Villarreal,84.0,2.9,2599,34,ESP
4,Isco,Real Betis,81.0,3.1,2338,29,ESP
5,Toni Kroos,Real Madrid,62.0,2.6,2130,33,GER
6,Takefusa Kubo,Real Sociedad,58.0,2.4,2155,30,JPN
7,Aleix Garcia,Girona,57.0,1.6,3201,37,ESP
8,Luka Modric,Real Madrid,55.0,2.9,1685,32,CRO
9,Pepelu,Valencia CF,55.0,1.5,3305,37,ESP
10,Gerard Moreno,Villarreal,53.0,2.1,2229,30,ESP
11,Savio,Girona,53.0,1.6,2989,37,BRA
12,Adrián Embarba,Almería,52.0,1.9,2485,36,ESP
13,Sergi Darder,Mallorca,51.0,2.1,2154,36,ESP
14,Ivan Rakitic,Sevilla,49.0,3.1,1425,18,CRO
15,Federico Valverde,Real Madrid,49.0,1.5,2910,37,URU
15,Oscar Mingueza,Celta de Vigo,49.0,1.5,3002,38,ESP
17,Jude Bellingham,Real Madrid,48.0,1.9,2323,28,ENG
18,Daniel Rodriguez,Mallorca,48.0,1.6,2632,36,ESP
19,Nico Williams,Athletic Club,47.0,1.9,2280,31,ESP
20,Rodrygo,Real Madrid,46.0,1.7,2388,34,BRA
21,Jonathan Viera,Almería,44.0,2.6,1541,21,ESP
22,Inaki Williams,Athletic Club,44.0,1.4,2855,34,GHA
23,Antoine Griezmann,Atlético de Madrid,43.0,1.5,2654,33,FRA
24,Suso,Sevilla,42.0,2.5,1514,29,ESP
25,Oihan Sancet,Athletic Club,42.0,1.9,1991,30,ESP
26,Sergio Arribas,Almería,42.0,1.8,2055,34,ESP
27,Miguel Gutiérrez,Girona,42.0,1.2,3037,35,ESP
28,Raphinha,Barcelona,41.0,2.7,1370,28,BRA
29,Robert Navarro,Cádiz,41.0,1.9,1905,28,ESP
30,Luis Rioja,Alavés,41.0,1.5,2511,37,ESP
31,Gerard Gumbau,Granada CF,41.0,1.4,2684,35,ESP
32,Brais Méndez,Real Sociedad,40.0,1.5,2420,32,ESP
33,Rodrigo De Paul,Atlético de Madrid,39.0,1.7,2084,34,ARG
34,Álvaro Garcia,Rayo Vallecano,39.0,1.4,2493,32,ESP
34,Diego Rico,Getafe,39.0,1.4,2536,32,ESP
36,Diego Lopez,Valencia CF,39.0,1.3,2671,36,ESP
37,Sergi Cardona,Las Palmas,39.0,1.2,2816,35,ESP
38,Jonathan Bamba,Celta de Vigo,38.0,1.7,1993,27,CIV
39,Lamine Yamal,Barcelona,38.0,1.6,2197,37,ESP
40,Pedri,Barcelona,37.0,2.2,1482,24,ESP
41,Kirian Rodriguez,Las Palmas,37.0,1.0,3217,37,ESP
42,Isi Palazon,Rayo Vallecano,36.0,1.2,2810,37,ESP
42,Jesus Areso,Osasuna,36.0,1.2,2661,37,ESP
42,Mason Greenwood,Getafe,36.0,1.2,2667,33,ENG
45,Lucas Ocampos,Sevilla,36.0,1.1,2885,35,ARG
46,Joao Cancelo,Barcelona,35.0,1.3,2506,32,POR
47,Samuel Dias Lino,Atlético de Madrid,34.0,1.5,2087,34,BRA
47,Viktor Tsigankov,Girona,34.0,1.5,2067,30,UKR
49,Lucas Robertone,Almería,34.0,1.3,2391,33,ARG
49,Vedat Muriqi,Mallorca,34.0,1.3,2329,29,KVX
51,Alexander Sørloth,Villarreal,34.0,1.2,2491,34,NOR
51,Daniel Parejo,Villarreal,34.0,1.2,2586,33,ESP
53,Carlos Vicente,Alavés,33.0,2.7,1118,18,ESP
54,Alex Berenguer,Athletic Club,33.0,1.9,1581,35,ESP
55,Ángel Correa,Atlético de Madrid,32.0,1.9,1525,32,ARG
56,Sandro Ramirez,Las Palmas,32.0,1.6,1819,27,ESP
57,Javier Hernández,Cádiz,32.0,1.1,2517,30,ESP
57,Jon Guridi,Alavés,32.0,1.1,2697,36,ESP
59,Rubén Garcia,Osasuna,31.0,1.8,1549,30,ESP
60,Vinicius Junior,Real Madrid,31.0,1.5,1872,26,BRA
61,Unai Lopez,Rayo Vallecano,31.0,1.3,2123,35,ESP
62,Nabil Fekir,Real Betis,30.0,2.6,1049,19,FRA
63,Lucas Vázquez,Real Madrid,30.0,1.9,1410,29,ESP
64,Brahim Diaz,Real Madrid,30.0,1.7,1551,31,MAR
65,Ayoze Pérez,Real Betis,30.0,1.2,2307,31,ESP
66,Luis Milla,Getafe,29.0,1.2,2123,27,ESP
67,Hamari Traoré,Real Sociedad,29.0,1.1,2296,31,MLI
68,Iván Martin,Girona,29.0,1.0,2744,36,ESP
69,Rodrigo Riquelme,Atlético de Madrid,28.0,1.7,1522,34,ESP
70,Rubén Pena,Osasuna,28.0,1.2,2105,29,ESP
71,Alfonso Espino,Rayo Vallecano,28.0,1.0,2512,31,URU
72,Alex Sola,Alavés,27.0,1.9,1285,31,ESP
73,Adrià Pedrosa,Sevilla,27.0,1.4,1749,31,ESP
74,Alberto Moleiro,Las Palmas,27.0,1.3,1807,28,ESP
75,Inigo Ruiz de Galarreta,Athletic Club,27.0,1.2,2104,29,ESP
75,Willian José,Real Betis,27.0,1.2,1978,33,BRA
77,Gorka Guruzeta,Athletic Club,27.0,1.1,2240,32,ESP
77,Yan Couto,Girona,27.0,1.1,2245,34,BRA
79,Artem Dovbyk,Girona,27.0,0.9,2605,36,UKR
79,Marcos Llorente,Atlético de Madrid,27.0,0.9,2570,37,ESP
79,Robert Lewandowski,Barcelona,27.0,0.9,2758,35,POL
82,Arsen Zakharyan,Real Sociedad,26.0,1.9,1229,29,RUS
82,Ferran Torres,Barcelona,26.0,1.9,1204,29,ESP
84,Largie Ramazani,Almería,26.0,1.5,1560,29,BEL
85,Aimar Oroz,Osasuna,26.0,1.0,2350,33,ESP
86,Koke,Atlético de Madrid,26.0,0.9,2502,35,ESP
86,Lucas Boye,Granada CF,26.0,0.9,2555,31,ARG
88,José Gayà,Valencia CF,25.0,1.3,1797,24,ESP
89,Johan Mojica,Osasuna,25.0,1.1,2041,30,COL
90,Ianis Hagi,Alavés,24.0,2.7,798,22,ROU
91,Moi Gomez,Osasuna,24.0,1.1,2010,28,ESP
92,Munir El Haddadi,Las Palmas,24.0,0.9,2470,38,MAR
93,Iván Balliu,Rayo Vallecano,24.0,0.8,2876,33,ALB
93,Javier Munoz,Las Palmas,24.0,0.8,2646,37,ESP
95,Jørgen Strand Larsen,Celta de Vigo,24.0,0.7,2887,37,NOR
96,Ezequiel Ávila,Real Betis,23.0,1.8,1166,23,ARG
96,Pablo Fornals,Real Betis,23.0,1.8,1153,15,ESP
98,Marcos Acuna,Sevilla,23.0,1.6,1296,21,ARG
99,Oscar Trejo,Rayo Vallecano,23.0,1.5,1381,31,ARG
100,Bryan Zaragoza,Granada CF,23.0,1.3,1640,21,ESP
101,Juan Miranda,Real Betis,23.0,1.1,1860,25,ESP
102,Jules Koundé,Barcelona,23.0,0.7,2899,35,FRA
102,Rubén Alcaraz,Cádiz,23.0,0.7,3138,36,ESP
104,Lucas Pires,Cádiz,22.0,1.3,1527,28,BRA
105,Oliver Torres,Sevilla,22.0,1.2,1620,27,ESP
105,Ruben Sobrino,Cádiz,22.0,1.2,1648,32,ESP
107,Jesus Navas,Sevilla,22.0,1.0,2010,29,ESP
108,Ricard Sánchez,Granada CF,22.0,0.9,2298,33,ESP
