Rank,Team,Saves per Match,Total Saves,Matches,Country
1,Villarreal,3.9,150.0,38,ESP
2,Almeria,3.4,129.0,38,ESP
3,Granada,3.4,128.0,38,ESP
4,Girona,3.3,125.0,38,ESP
5,Getafe,3.2,123.0,38,ESP
5,Sevilla,3.2,123.0,38,ESP
7,Cadiz,3.2,122.0,38,ESP
8,Valencia,3.1,119.0,38,ESP
9,Real Betis,3.1,117.0,38,ESP
10,Las Palmas,3.0,114.0,38,ESP
11,Celta Vigo,2.9,111.0,38,ESP
12,Mallorca,2.8,108.0,38,ESP
13,Rayo Vallecano,2.8,107.0,38,ESP
14,Athletic Club,2.7,104.0,38,ESP
15,Deportivo Alaves,2.7,103.0,38,ESP
16,Atletico Madrid,2.7,102.0,38,ESP
17,Real Sociedad,2.6,100.0,38,ESP
18,Barcelona,2.6,97.0,38,ESP
18,Osasuna,2.6,97.0,38,ESP
20,Real Madrid,2.5,94.0,38,ESP
