Rank,Team,Big Chances,Goals,Matches,Country
1,Girona,131.0,85.0,38,ESP
2,Barcelona,127.0,79.0,38,ESP
3,Real Madrid,123.0,87.0,38,ESP
4,Atletico Madrid,121.0,70.0,38,ESP
5,Athletic Club,93.0,61.0,38,ESP
6,Villarreal,92.0,65.0,38,ESP
7,Almeria,89.0,43.0,38,ESP
8,Sevilla,87.0,48.0,38,ESP
9,Celta Vigo,85.0,46.0,38,ESP
10,Deportivo Alaves,80.0,36.0,38,ESP
11,Real Betis,77.0,48.0,38,ESP
12,Osasuna,76.0,45.0,38,ESP
13,Real Sociedad,73.0,51.0,38,ESP
14,Getafe,72.0,42.0,38,ESP
15,Valencia,69.0,40.0,38,ESP
16,Granada,63.0,38.0,38,ESP
17,Rayo Vallecano,61.0,29.0,38,ESP
18,Mallorca,60.0,33.0,38,ESP
19,Cadiz,58.0,26.0,38,ESP
20,Las Palmas,49.0,33.0,38,ESP
