Rank,Team,Penalties Conceded,Penalty Goals Conceded,Matches,Country
1,Almeria,9.0,6.0,38,ESP
2,Las Palmas,9.0,5.0,38,ESP
3,Deportivo Alaves,8.0,8.0,38,ESP
4,Real Betis,8.0,7.0,38,ESP
5,Celta Vigo,8.0,6.0,38,ESP
6,Real Sociedad,7.0,6.0,38,ESP
7,Getafe,7.0,5.0,38,ESP
7,Girona,7.0,5.0,38,ESP
9,Villarreal,6.0,6.0,38,ESP
10,Granada,6.0,5.0,38,ESP
11,Valencia,6.0,3.0,38,ESP
12,Sevilla,5.0,5.0,38,ESP
13,Mallorca,5.0,4.0,38,ESP
14,Athletic Club,5.0,1.0,38,ESP
15,Barcelona,2.0,2.0,38,ESP
15,Cadiz,2.0,2.0,38,ESP
17,Atletico Madrid,2.0,1.0,38,ESP
17,Osasuna,2.0,1.0,38,ESP
17,Rayo Vallecano,2.0,1.0,38,ESP
20,Real Madrid,1.0,1.0,38,ESP
