Rank,Team,Penalties Won,Conversion Rate (%),Matches,Country
1,Valencia,9.0,88.9,38,ESP
2,Girona,8.0,87.5,38,ESP
3,Granada,8.0,62.5,38,ESP
4,Barcelona,7.0,85.7,38,ESP
4,Getafe,7.0,85.7,38,ESP
6,Villarreal,7.0,71.4,38,ESP
7,Deportivo Alaves,7.0,42.9,38,ESP
8,Rayo Vallecano,6.0,100.0,38,ESP
9,Atletico Madrid,6.0,83.3,38,ESP
10,Osasuna,5.0,80.0,38,ESP
11,Athletic Club,5.0,60.0,38,ESP
11,Celta Vigo,5.0,60.0,38,ESP
11,Las Palmas,5.0,60.0,38,ESP
14,Real Madrid,5.0,40.0,38,ESP
15,Real Sociedad,4.0,100.0,38,ESP
16,Cadiz,3.0,100.0,38,ESP
17,Real Betis,3.0,66.7,38,ESP
18,Mallorca,3.0,33.3,38,ESP
19,Almeria,2.0,100.0,38,ESP
19,Sevilla,2.0,100.0,38,ESP
