Rank,Team,Possession (%),Matches,Country
1,Barcelona,64.7,38,ESP
2,Las Palmas,59.7,38,ESP
3,Real Madrid,59.4,38,ESP
4,Girona,57.2,38,ESP
5,Real Sociedad,55.6,38,ESP
6,Atletico Madrid,50.7,38,ESP
7,Real Betis,50.5,38,ESP
8,Sevilla,50.3,38,ESP
9,Athletic Club,49.7,38,ESP
10,Villarreal,49.6,38,ESP
11,Rayo Vallecano,49.3,38,ESP
12,Osasuna,47.4,38,ESP
13,Celta Vigo,46.2,38,ESP
14,Almeria,46.2,38,ESP
15,Granada,45.5,38,ESP
16,Getafe,44.7,38,ESP
17,Mallorca,44.7,38,ESP
18,Valencia,44.0,38,ESP
19,Cadiz,42.9,38,ESP
20,Deportivo Alaves,41.4,38,ESP
