Rank,Team,Goals per Match,Total Goals Scored,Matches,Country
1,Real Madrid,2.3,87.0,38,ESP
2,Girona,2.2,85.0,38,ESP
3,Barcelona,2.1,79.0,38,ESP
4,Atletico Madrid,1.8,70.0,38,ESP
5,Villarreal,1.7,65.0,38,ESP
6,Athletic Club,1.6,61.0,38,ESP
7,Real Sociedad,1.3,51.0,38,ESP
8,Real Betis,1.3,48.0,38,ESP
8,Sevilla,1.3,48.0,38,ESP
10,Celta Vigo,1.2,46.0,38,ESP
11,Osasuna,1.2,45.0,38,ESP
12,Almeria,1.1,43.0,38,ESP
13,Getafe,1.1,42.0,38,ESP
14,Valencia,1.1,40.0,38,ESP
15,Granada,1.0,38.0,38,ESP
16,Deportivo Alaves,0.9,36.0,38,ESP
17,Las Palmas,0.9,33.0,38,ESP
17,Mallorca,0.9,33.0,38,ESP
19,Rayo Vallecano,0.8,29.0,38,ESP
20,Cadiz,0.7,26.0,38,ESP
