Rank,Team,Successful Tackles per Match,Tackle Success (%),Matches,Country
1,Sevilla,12.2,66.4,38,ESP
2,Real Betis,11.6,63.6,38,ESP
3,Real Sociedad,10.7,62.3,38,ESP
4,Atletico Madrid,10.5,61.0,38,ESP
5,Cadiz,10.5,59.4,38,ESP
6,Las Palmas,10.4,60.0,38,ESP
7,Mallorca,10.2,56.6,38,ESP
8,Celta Vigo,10.1,60.9,38,ESP
9,Valencia,10.0,57.7,38,ESP
10,Rayo Vallecano,9.8,59.0,38,ESP
11,Almeria,9.8,58.8,38,ESP
12,Granada,9.8,58.7,38,ESP
13,Real Madrid,9.7,66.1,38,ESP
14,Barcelona,9.6,63.6,38,ESP
15,Getafe,9.6,59.9,38,ESP
16,Athletic Club,9.5,62.3,38,ESP
17,Villarreal,9.2,60.4,38,ESP
18,Deportivo Alaves,9.1,60.0,38,ESP
19,Girona,8.9,62.5,38,ESP
20,Osasuna,8.2,59.2,38,ESP
