Rank,Team,Red Cards,Yellow Cards,Matches,Country
1,Getafe,9.0,126.0,38,ESP
2,Villarreal,8.0,102.0,38,ESP
3,Cadiz,7.0,106.0,38,ESP
4,Almeria,6.0,85.0,38,ESP
5,Rayo Vallecano,5.0,101.0,38,ESP
6,Atletico Madrid,5.0,82.0,38,ESP
7,Las Palmas,5.0,80.0,38,ESP
8,Osasuna,5.0,76.0,38,ESP
9,Athletic Club,5.0,75.0,38,ESP
10,Celta Vigo,5.0,62.0,38,ESP
11,Valencia,5.0,60.0,38,ESP
12,Sevilla,4.0,108.0,38,ESP
13,Granada,4.0,96.0,38,ESP
14,Real Madrid,4.0,67.0,38,ESP
15,Mallorca,3.0,102.0,38,ESP
16,Real Betis,3.0,85.0,38,ESP
17,Real Sociedad,2.0,98.0,38,ESP
18,Barcelona,2.0,85.0,38,ESP
19,Deportivo Alaves,1.0,84.0,38,ESP
20,Girona,1.0,75.0,38,ESP
