Rank,Team,Yellow Cards,Red Cards,Matches,Country
1,Getafe,126.0,9.0,38,ESP
2,Sevilla,108.0,4.0,38,ESP
3,Cadiz,106.0,7.0,38,ESP
4,Villarreal,102.0,8.0,38,ESP
5,Mallorca,102.0,3.0,38,ESP
6,Rayo Vallecano,101.0,5.0,38,ESP
7,Real Sociedad,98.0,2.0,38,ESP
8,Granada,96.0,4.0,38,ESP
9,Almeria,85.0,6.0,38,ESP
10,Real Betis,85.0,3.0,38,ESP
11,Barcelona,85.0,2.0,38,ESP
12,Deportivo Alaves,84.0,1.0,38,ESP
13,Atletico Madrid,82.0,5.0,38,ESP
14,Las Palmas,80.0,5.0,38,ESP
15,Osasuna,76.0,5.0,38,ESP
16,Athletic Club,75.0,5.0,38,ESP
17,Girona,75.0,1.0,38,ESP
18,Real Madrid,67.0,4.0,38,ESP
19,Celta Vigo,62.0,5.0,38,ESP
20,Valencia,60.0,5.0,38,ESP
