Rank,Team,Touches in Opposition Box,Matches,Country
1,Real Madrid,1259.0,38,ESP
2,Barcelona,1177.0,38,ESP
3,Girona,1048.0,38,ESP
4,Atletico Madrid,1012.0,38,ESP
5,Athletic Club,953.0,38,ESP
6,Real Betis,952.0,38,ESP
7,Villarreal,910.0,38,ESP
8,Celta Vigo,866.0,38,ESP
9,Real Sociedad,816.0,38,ESP
10,Deportivo Alaves,809.0,38,ESP
11,Sevilla,786.0,38,ESP
12,Osasuna,761.0,38,ESP
13,Getafe,734.0,38,ESP
14,Granada,728.0,38,ESP
15,Rayo Vallecano,711.0,38,ESP
16,Mallorca,707.0,38,ESP
17,Almeria,653.0,38,ESP
18,Las Palmas,652.0,38,ESP
19,Valencia,632.0,38,ESP
20,Cadiz,592.0,38,ESP
